idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,f4801_a,einrichtung,exemplar
999826239,L-1540-169508250,Aal,DBSM/F/Bö,Bö B I 415,Bö B I 415,1540,"Libro Nvovo Da|| Imparare A Scrivere Tvtte|| Sorte Lettere Antiche Et Moderne|| Di Tvtte Nationi, con Nvove|| Regole, Misvre|| Et Essempi|| Con vn bre", : ,[52] Bl.,,,,,,,,1,02
999827464,L-1545-169509362,Aal,DBSM/F/Bö,Bö B I 417,Bö B I 417,1545,"Libro Di M. Giovambattista|| Palatino Cittadino Romano|| Nel qual sʹinsegna a scriuere ogni sorte lettera, antica, & moder||na, di qualunque natione, ", : ,[56] statt 64 Bl.,,,,,,,Bog. H. m. Kolophon fehlt. - Das vorlieg. Ex. ist aus 2 verschied. Druckausgaben der erweit. Ausg. von 1545 zs. gestellt; denn Bl. 31 u. 33 sind bei verschiedener Bogensignatur Wiederholungen vom gleichen Holzstock,1,02
999828193,L-1548-16951014X,Aal,DBSM/F/Bö,Bö B I 418,Bö B I 418,1548,"Libro Di M. Giovanbattista|| Palatino Cittadino Romano,|| nel qual sʹinsegna à Scriuere ogni lettera, Anti||ca, et Moderna, di qualunque natione, con ", : ,[43] statt 64 Bl.,,,,,,,"Es fehlen: B3, 6; C4-6; D2-3, 6-7; E1, 4-5, 8; F2,7; G3-6, 8",1,02
999953133,L-1693-169765539,Aal,DBSM/F/Bö,Bö B I 430/4°,Bö B I 430/4°,1693,"[Schriftvorlagen] : [Sammelband, wahrscheinlich aus einer Ausgabe des ""Exemplaarboeck"" zsgest. Taf. z.T. sign.:] ""A. Perling scripts. et sculpt"" ; [Ta", : ,[5] Taf.,,,,,,,,1,02
999953575,L-1685-169765989,Aal,DBSM/F/Bö,Bö B I 431 (Großformate),Bö B I 431,1685,"Groote en kleene Voorbeelden van Latynse, Italiaanse, Romeynse Naam en Getal-Letteren, seer dienstig voor Schilders, Merk, Letter en Wapensnyders : ", : ,"Tit. [=Taf. 1], Taf. 2 - 8",,,,,,,,1,02
1000041611,L-1620-169916529,Aal,DBSM/F/Bö,Bö B I 437,Bö B I 437,1620,Essempij del Pisenti : Lʹidea del vero scrivere cancellaresco e corsivo de scrittori diversi, : ,Kupf. Tit. Taf. 2 - 34,,,,,,,"Angeb.:1 Bl. orig. Federzeichng, kalligraph., mit Widmg für Lorenzo Zanzini, Parma, unterzeichn.: Rossi: [ca. 17. Jh.]",1,02
1000651371,L-1758-170985369,Aal,DBSM/F/Bö,(Großformate),Bö B I 445/2°,1758,Le @Grand-Art|| dʹécrire|| Necessaire à ceux qui veulent se perfectionner dans cette Science|| ... dedié|| Aux Enfans de France|| : , : ,30 Kupfertafeln,,,,,,,,1,02
1000711277,L-1820-180349104,Afl,DBSM/F/Bö,Bö B I 446 - 1,Bö B I 446 - 1,1820,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,Teil 1. : ,"XVI, XVI, 494 S.",,,,,,,,1,03
1003598099,L-1793-180266608,Afl,DBSM/F/Bö,Bö B I 446 (Großformate),Bö B I 446 - 1.Tafelbd.,1793,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Tafelbd., Teil 1 : , Systematische Anweisung zum Schönschreiben","Kupf.-Tit., 72 Taf.",", ",,,,,,"Tit. sign.: Schurich inv., C. F. Holtzmann fecit",1,02
1003621309,L-1818-180349376,Afl,DBSM/F/Bö,Bö B I 446 - 3,Bö B I 446 - 3,1818,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Teil 3. : Anweisung, die deutsche Sprache nach d. rein hochdt. Mundart richtig auszusprechen u. zu schreiben","VI, 341 S.",,,,,,,,1,02
1003621716,L-1817-180349856,Afl,DBSM/F/Bö,Bö B I 446,Bö B I 446 - 3 (angebunden),1817,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Teil 3., Nachtr. [1] : Anweisung, die deutsche Sprache nach d. rein hochdt. Mundart richtig auszusprechen u. zu schreiben, ","IV, 72 S.",", ",,,,,,,1,02
1003621880,L-1821-180350021,Afl,DBSM/F/Bö,Bö B I 446 - 3 (angebunden),Bö B I 446 - 3 (angebunden),1821,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Teil 3., Nachtr. [2] : Anweisung, die deutsche Sprache nach d. rein hochdt. Mundart richtig auszusprechen u. zu schreiben, Fortsetzung des Nachtrages zum dritten Theile des systematisch-kalligraphischen und orthographischen Werkes","IV S., S. 73 - 124",", ",,,,,,,1,02
1000714128,L-1741-171054784,Aal,DBSM/F/Bö,(Großformate),Bö B I 447/2°,1741,Lʹ @Art d'Écrire|| Nouvellement mis au jour|| : Sur les differens Caractères les plus usitez||, : ,"[1] Bl. Privileg, 30 Taf., einschl. Kupf. Tit.",,,,,,,,1,02
1000778924,L-1785-171143485,Aal,DBSM/F/Bö,(Großformate),Bö B I 448/2°,1785,Démonstrations de lʹArt dʹÉcrire : , : ,22 Taf.,,,,,,,,1,02
999822446,L-1760-169504352,Aal,DBSM/F/Bö,Bö B I 449/2°,Bö B I 449/2°,1760,"Alphabets mineurs: Ronde, Batardes, Coulée : [Schreibvorlage]", : ,,,,,,,,,1,02
1000784134,L-1731-171148738,Qd,DBSM/F/Bö,Bö B I 449/2°,Bö B I 449/2°,1731,Vorschriften : [Zusammenstellung aus verschiedenen Schreibvorlagenbüchern], : ,"12 Kupf.-Taf., versch. Plattengröße",,,,,,,,1,02
1001719972,L-1760-17544434X,Aal,DBSM/F/Bö,(Großformate),Bö B I 449/2°,1760,[Schreibvorlagen] : , : ,,,,,,,,,1,02
1000778169,L-1767-171142772,Aal,DBSM/F/Bö,(Großformate),Bö B I 450/2°,1784,Le @Grand Art dʹÉcrire Par les meilleurs Maîtres : avec Principes et Démonstrations des diverses Écritures actuelement en usages ; orné de Pieces dʹHi, : ,30 Kupf. Taf.,,,,,,,,1,02
100087186X,L-1789-171306473,Aal,DBSM/F/Bö,(Großformate),Bö B I 451/2°,1789,[Lʹ @Écriture démontrée : , : ,"Verf. Portr., IV gest. Text-Taf., 19 Kupf.",,,,,,,Kupf. Tit. fehlt,1,02
1000942589,L-1644-171709489,Aal,DBSM/F/Bö,Bö B I 455,Bö B I 455,1640,Fiori di letere Cancellaresche Moderne : , : ,42 Kupf. Taf. einschl. Tit.,,,,,,,,1,02
1001315340,L-9999-174157363,Aal,DBSM/F/Bö,Bö B I 461,Bö B I 461,1600,[Kalligraphische Schreibvorlagen : Niederlande 17. Jahrhundert], : ,[17] Bl. Kupf.Stiche ohne Stecher-Signaturen,,,,,,,,1,02
1001471156,L-1756-17495347X,Aal,DBSM/F/Bö,Bö B I 462/2°,Bö B I 462/2°,1756,"Joannis Georgii|| Schwandneri|| Austriaci Stadelkirchensis|| Dissertatio|| Epistolaris|| De|| Calligraphiae|| Nomenclatione,|| Cultu,|| Praestantia,||", : ,"Kupf. Tit., typogr. Tit., 2 Bl. Privileg, S. 3 - 14, 158 Kupf. Taf., z.Tl. Doppeltaf.",,,,,,,,1,02
100152344X,L-1669-175049025,Aal,DBSM/F/Bö,(Großformate),Bö B I 469/2°,1669,Les @rares Escritvres Financieres et Italiennes bastardes Novvellement A La Mode ; avec vn Abrege Contenant des instructions tres facilles pour appren, : ,"Kupf. Tit., [24] Kupf. Taf.",,,,,,,,1,02
1001523482,L-1667-175049084,Aal,DBSM/F/Bö,(Großformate),Bö B I 470/2°,1667,Exemples De nouuelles Escritures de Finances et Italienne bastarde Comme elles doiuent estre pratiquées par ceux qui aspirent aux Employs et commissio, : ,"Kupf. Tit., [19] Kupf. Taf.",,,,,,,,1,02
1001552482,L-1789-175086788,Afl,DBSM/F/Bö,Bö B I 472/2°,Bö B I 472/2°,1789,Reflexîones sobre la verdadera arte de escribir,1 : ,"Kupfertit., Tit., [Kupf. Widmg], [4] Bl., 293 S.",,,,,,,,1,02
1001552733,L-1789-175087016,Afl,DBSM/F/Bö,Bö B I 472/2°,Bö B I 472/2°,1789,Reflexîones sobre la verdadera arte de escribir,[2] : ,"Kupf. Tit., [1] Kupf., 108 [statt 109?] Taf., dabei Taf. 1, 2 u. 86 aus je 2 Taf. besteh.",,,,,,,Taf. 76 fehlt in d. Nrnfolge!,1,02
1001487680,L-1705-174985053,Aal,DBSM/F/Bö,Bö B I 474/2°,Bö B I 474/2°,1705,"The @Penman's Magazine:|| Or, A|| New Copy-Book,|| Of the English, French and Italian|| Hands,|| After the Best Mode; Adorn'd with about an Hundred Ne", : ,"Tit., [1] Bl. 4 S., [1] Bl., Widmg., [16] Kupf. Taf. mit je 2 Platt. bedruckt, [1] Taf. Schreibschwünge, auf Vorsatz aufgezogen",,,,,,,In zeitgen. Buntpapierumschl.,1,02
100226667X,L-1668-176918574,Aal,DBSM/F/Bö,Bö B I 489,Bö B I 489,1668,"Le @Meraviglie Della Penna, Conchivdenti in diuersi modi di scriuere delineati, et intagliati : con licenta deʹ Superiori", : ,[23] statt 24 Kupf. Taf.,,,,,,,,1,02
1002266858,L-1680-176918728,Aal,DBSM/F/Bö,Bö B I 490,Bö B I 490,1680,La @uera Regola dello scriuere : vtile à Giouani, : ,"Kupf. Tit., 16 Kupf. Taf., [1] leer. Bl.",,,,,,,,1,02
1002488575,L-1777-177418761,Aal,DBSM/F/Bö,Bö B I 492/4°,Bö B I 492/4°,1777,"The|| @Beauties of Writing,|| Exemplified in a Variety of Plain and : ", : ,"40 Kupf. Taf. einschl. Tit., [1] Bl. ""Subscribers""",,,,,,,,1,02
1002456193,L-1744-177387106,Afl,DBSM/F/Bö,Bö B I 497,Bö B I 497,1744,"Gründliche Unterweisung in der so nöthig als nützlichen Schreibe-Kunst, ...",[1] : ,"Typograph. Tit., [2] Bl., 80 S., [24] Kupf. Taf.",,,,,,,Teil 1-4 in einem Band,1,02
1002456312,L-1744-177387246,Afl,DBSM/F/Bö,Bö B I 497,Bö B I 497,1744,"Gründliche Unterweisung in der so nöthig als nützlichen Schreibe-Kunst, ...",2 : ,"Tipogr. Tit., [1] Bl., 44 s., [4], XIX Kupf. Taf.",,,,,,,Teil 1-4 in einem Band,1,02
1002457009,L-1744-177387912,Afl,DBSM/F/Bö,Bö B I 497,Bö B I 497,1744,"Gründliche Unterweisung in der so nöthig als nützlichen Schreibe-Kunst, ...",3 : ,"Typogr. Tit., [1] Bl., 92 S., [5] Kupf. Taf., davon 3 Dopp. Taf.",,,,,,,Teil 1-4 in einem Band,1,02
1002457513,L-1747-177388404,Afl,DBSM/F/Bö,Bö B I 497,Bö B I 497,1747,"Gründliche Unterweisung in der so nöthig als nützlichen Schreibe-Kunst, ...","4. : Von der Delineation, Proportion, Expreßion, Licht und Schatten, ... Ehemals in französ","Typogr. Tit., [1] Bl., 36 S., [8 statt 12] Kupf.",,,,,,,Teil 1-4 in einem Band,1,02
1004800959,L-1620-182914232,Afl,DBSM/F/Bö,Bö B I 499/4,Bö B I 499/4,1620,Duytsche exemplaren van alderhande gheschriften,[Deel 1] : ,"Kupf.-Tit., [11] Kupf. Taf.",,,,,,,,1,02
1005264414,L-9999-184157013,Afl,DBSM/F/Bö,Bö B I 499/4,Bö B I 499/4,1622,Duytsche exemplaren van alderhande gheschriften,Deel 3. : Het Derde Deel der Duytscher ende Franscher Scholen Exemplaer-boeck,"Kupf. Tit., [11] Kupf. Taf.",,,,,,,,1,02
1002689872,L-1621-17784387X,AFl,DBSM/F/Bö,Bö B I 499/4°,Bö B I 499/4°,1621,"Thresor Literaire, contenant Plusieurs diverses Escritures, les plus usitées és Escoles Francoyses des Provinces unies du Pays-bas : Escrit ...", : ,"Kupf.-Tit., [11] Kupf. Taf.",,,,,,,,1,02
1066940584,L-1830-31546836X,Aaf,DBSM/F/Bö,Bö B I 503,Bö B I 503,1830,"Le @scritture francesi, italiane, ed inglesi nella loro perfezione : cavate dagli esemplari de' migliori maestri delle tre nazioni", : ,"Titelbl., 16 Kupfertaf.",,,,,,,,1,02
1002661714,L-1672-177815825,Aal,DBSM/F/Bö,Bö B I 504,Bö B I 504,1672,Exemplaer boeck : Inhoudende de noodtwendichste Schriften voor de Jeucht seer dienstich, : ,[26] Taf.,,,,,,,"Vorbes. Eintrg: Josua van Heel, 1795. - Auf d. 3. vord. Vorsatz hs. Widmg d. Schreiblehrers d. Lateinschule zu Hertzogenbosch, A. Werner, für d. Schüler Hermanus Ackersdyck, 2.5.1678. - Pergmtbd d. Zt m. Superexlibris auf beid. Deckeln",1,02
1002797225,L-1587-178175307,Aal,DBSM/F/Bö,Bö B I 505,Bö B I 505,1587,Il @primo Libro delli essempi : , : ,Kupf. Tit. u. [41] Kupf. Taf.,,,,,,,,1,02
993908063,L-1776-162843321,Aal,DBSM/F/Bö,Bö B I 506,Bö B I 506,1776,"Vollkommene Gründ- und Regulmäßige Anweisung zur Schön-Schreib-Kunst, darinnen man... die Current- Canzley- und Fractur-Schrifften- ingleichen auch di", : ,"Kupfertit., 11, [14] Taf.",,,,,,,Nur d. Fraktur-Initial-Alphabet ist. vorh.,1,03
1000444562,L-1794-170642828,Aal,DBSM/F/Bö,Bö B I 507,Bö B I 507,1794,Verzeichniss deutscher Buchstaben nach der Etymologie bis zur Calligraphie neu entworfen von einem sehr berühmten und in diesem Sache wohl erfahrnen M, : ,"Kupf. Tit., [31] Kupf. Taf.",,,,,,,,1,02
1002859336,L-1522-178262609,Aal,DBSM/F/Bö,Bö B I 508,Bö B I 508,1522,"La @Operi||na|| di Ludouico Vicentino, da|| imparareʹ di|| scriue=||reʹ : ", : ,[16] Bl. Holzschn.; Bog. Sign. A - D4,,,,,,,"Handeinbd. in rot. Maroquin écrasé, sign. v. franz. Meisterfirma Chambolle-Duru (1861-1915)",1,02
1002859336,L-1522-178397555,Aal,DBSM/F/Bö,Bö B I 509,Bö B I 509,1522,"La @Operi||na|| di Ludouico Vicentino, da|| imparareʹ di|| scriue=||reʹ : ", : ,[16] Bl. Holzschn.; Bog. Sign. A - D4,,,,,,,Restauriertes Ex.,1,03
1002859336,L-1522-178397849,Aal,DBSM/F/Bö,Bö B I 510,Bö B I 510,1522,"La @Operi||na|| di Ludouico Vicentino, da|| imparareʹ di|| scriue=||reʹ : ", : ,[16] Bl. Holzschn.; Bog. Sign. A - D4,,,,,,,Restaur. a. ob. Rand. aber kein Text verdeckt,1,04
