idn,akz,bbg,standort,signatur_g,signatur_a,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,einrichtung,exemplar
1066964440,L-1508-315494670,Aaf,DBSM/M/Klemm,"III 3, 2","III 3, 2",Jch heyss ain b#[ue]chlein der iu||den peicht.|| Jn allen orten vindt man mich leicht|| Vil newer meren seind mir wol bekant|| Jch will mich prayten i, : ,[10] Bl.,,,,,,,,,,1,02
106680012X,L-1520-315220031,Aaf,DBSM/M/Klemm,"III 3, 2 a","III 3, 2 a",Die @siben Buszpsalm mitt deütscher auszlegung nach dem schrifftlichen synne ... gründtlich gerichtet Doc Martini Luther ... : , : ,[32] Bl.,,,,,,,,,,1,02
1066941645,L-1508-315469293,Aaf,DBSM/M/Klemm,"III 3, 3","III 3, 3",Predigen Teütsch:|| vnd vil gutter leeren Des hoch||geleerten herrn Johañ von Kai||sersperg.in #/||d götliche geschrifft|| doctor vnd prediger zu dem , : ,clvi Bl.,,,,,,,,,,1,02
1066961646,L-1508-31549204X,Aaf,DBSM/M/Klemm,"III 3, 4","III 3, 4",Sermones: des hoch||geleerten in gnaden erleüchten do||ctoris Johannis Thaulerii sannt|| dominici ordens die da weißend|| auff den n#[ae]chesten waren, : ,"[6], ccxxi Bl.",,,,,,,,,,1,02
1066961859,L-1512-315492252,Aaf,DBSM/M/Klemm,"III 3, 5","III 3, 5",Diss buch das da|| gedicht hat der erleücht vater Amandus/ genañt|| Seüß. begreift in jm vil guter gaistlicher leeren|| wie der mensch/ so er sich gew, : ,ccxiii [=183] Bl.,,,,,,,,,,1,02
1066964009,L-1510-315494212,Aaf,DBSM/M/Klemm,"III 3, 6","III 3, 6",Obsequiale siue benedi||ctionale scdm ecclesi-||am Constantieñ.||[Hrsg. v. (Hugone de Landenberg ...||)] : , : ,"[4], CVI, [1] Bl.",,,,,,,,"unvollständig: nur [3],CIIII [=98], [1] Bl., u.a. fehlt Bl. CVI mit dem Erscheinungsvermerk",,1,02
106695674X,L-1515-315487372,Aaf,DBSM/M/Klemm,"III 3, 8","III 3, 8",IORNAN||DES DE REBVS|| GOTHORVM. PAV||LVS DIACONVS|| FOROIVLIEN=||SIS DE GESTIS|| LANGOBARDO=||RVM|| [Hrsg.v.(CHVONRADI PEVTINGER ...|| & Ioannis Stab, : ,[69 statt 70] Bl.,,,,,,,,,,1,02
1000480518,L-1519-170697215,Aal,DBSM/M/Klemm,"III 3, 8 a","III 3, 8 a","Opusculum|| DE DIGNITATE|| SACERDOTVM IN||COMPARABILI, AD AMPLIS-||SIMVM ANTISTITEM. D. HV||GONEM DE LANDENBERG|| CONSTANTIEN. ECCLE||SIE EPISCOPVM VR", : ,[42] Bl. Sign. a - k4 u. [2] Bl. Antiqua,,,,,,,,,,1,02
1066871930,L-1517-315329688,Aaf,DBSM/M/Klemm,"III 3, 9","III 3, 9",Ob ainem sey zu ne=||men ain Eelich weib.|| ALBRECHT VON EYBE DOCTOR|| : , : ,"LII, [1] Bl.",,,,,,,,Altkoloriert,,1,02
106695691X,L-1518-315487518,Aaf,DBSM/M/Klemm,"III 3, 10","III 3, 10",Ausslegung|| des hundert vnd neünd//ten psalmen. Dixit do||minus domino meo/|| Doctor Martini lu||ther Augustiner zu|| Wittenberg/ zu|| herr Hierony=|, : ,[18] Bl.,,,,,,,,,,1,02
106695822X,L-1522-315488867,Aaf,DBSM/M/Klemm,"III 3, 10 a","III 3, 10 a",Von dem touben vnd|| Stu~men Marci. vij. am zwelff||ten Sontag nach dem ach=||ten der Pfingsten/ durch|| D. Martinu Luther|| zu Wittenberg ge=||predig, : ,[6] Bl.,,,,,,,,,,1,02
1066958416,L-1519-315489030,Aaf,DBSM/M/Klemm,"III 3, 10 b","III 3, 10 b",Ain @Sermon von|| der Beraytung zum sterben|| Doctor Martini Luthers|| Augustiner #[et]c.|| : , : ,[10] Bl.,,,,,,,,,,1,02
1066962499,L-1522-315492856,Aaf,DBSM/M/Klemm,"III 3, 10 c","III 3, 10 c",Ain @trostliche versten||dige leer über das wort sancti|| Pauli. Der mensch soll|| sich selbs probieren/|| vñ also von dem|| brot essen/ vñ|| von dem|, : ,[14] Bl.,,,,,,,,,,1,02
997626313,L-1525-164450874,Aal,DBSM/M/Klemm,"III 3, 10 d","III 3, 10 d","Annotations||[in acta apostolorum, dt.] oder Anzaygungen, ||Justi Jone zu Wittemberg, vber das||Buch der Aposteln Geschicht|| newlich verteütscht||M.D", : ,[72] statt [74] Bl.,,,,,,,,es fehlen Bl. 71-72=Sign. r3-r4; letzt Bl. leer,,1,02
99400026X,L-1522-154280380,Aal,DBSM/M/Klemm,"III 3, 12","III 3, 12",Ain @andechtiger vn̄ zu besse||rung súndiges lebens|| nützlicher|| Tractat|| des hayligen vnd Christli||chen lerers Aurelij Augustini|| von der üppigk, : ,[6] Bl.,,,,,,,,,,1,02
1000478475,L-1521-170695743,Aal,DBSM/M/Klemm,"III 3, 12 a","III 3, 12 a","Argvmentvm libelli.|| Symon Hessvs [d.i. Urbanus Rhegius] Lvthero osten||dit cavssas, qvare Lvterana|| oposcvla a Coloniensibvs|| et Lovaniensib. sint", : ,[15] Bl. Bog. Sign. A4 - D3,,,,,,,,,,1,03
106696002X,L-1524-315490551,Aaf,DBSM/M/Klemm,"III 3, 12 b","III 3, 12 b",Verzaichnug vnd|| kurtzliche antzaigung|| in d#[m] Euangeliu|| Joan. Philippi|| Melanch=||thons.|| : , : ,125 Bl.,,,,,,,,,,1,02
1066871574,L-1522-31532936X,Aaf,DBSM/M/Klemm,"III 3, 13","III 3, 13",Des @hochgelerten|| herñ Doctor Erasmi von|| Roterdam schöne vñ|| clare außlegung|| über die Epi=||stel Pauli|| zů Tito.|| Durch Vrbanum Regiū der|| h, : ,[16] Bl.,,,,,,,,,,1,02
993849784,L-1523-153700335,Aal,DBSM/M/Klemm,"III 3, 13 a","III 3, 13 a","Ain @Sermon von d'schul Christi,|| darinn ain yetlicher leeriunnger lernet wa|| es jm faelet an dem weg der saeligkait, vnd|| wie wir noch so gar nit ", : ,"[15], 1 leer. Bl.",,,,,,,,,,1,02
1066839182,L-1523-315299215,Aaf,DBSM/M/Klemm,"III 3, 14","III 3, 14",Psalter des küniglichen prophetten dauids geteutscht nach warhafftigem text der hebraischen zungen. : , : ,"[16], [8], ccxj, [1] Bl.",,,,,,,,,,1,02
998888257,L-1522-167111574,Aal,DBSM/M/Klemm,"III 3, 14b","III 3, 14b",Von bayder gestalt des Sacra=||ments zunemen : vnd an=||der neüeru[n]g, : ,"[17] u. [1] leer. Bl., Sign. A4 - E3",,,,,,,,,,1,02
1066937621,L-1514-315465468,Aaf,DBSM/M/Klemm,"III 3, 15","III 3, 15",KAlendarius teütsch Mai=||ster Joannis küngspergers|| ... : , : ,[72 statt 75] Bl.,,,,,,,,,,1,02
1066963312,L-1524-315493577,Aaf,DBSM/M/Klemm,"III 3, 16","III 3, 16",Dye @Euangelisch hystori : , : ,"[5] Bl., 86 S., [8] Bl.",,,,,,,,,,1,01
1000482995,L-1525-170699919,Aal,DBSM/M/Klemm,"III 3, 16 a","III 3, 16 a","Ain @Sermon vom eelichen|| stand, wienutz, not, gut|| vnd frey er jederman|| sey : ", : ,[8] Bl. Sign.: a - b1-4,,,,,,,,,,1,02
99388654X,L-1526-153949872,Aal,DBSM/M/Klemm,"III 3, 16 b","III 3, 16 b",Der @Neüntzigeste||Psalmus|| Wie ain|| trost|| hilff|| oder sterck|| sey|| dem teüffel vn̄ aller får|| gaist||lich vn̄ leyplich|| z°u wider||st°on|| d, : ,[24] Bl.,,,,,,,,,,1,02
1137896108,L-9999-414174909,Qd,DBSM/M/Klemm,"III 3, 17","III 3, 17","Sammelband mit ""Füllmaterial"" : ", : ,Band mit angebundenem Werk,,,,,,,,,,1,02
1138380563,L-9999-414987020,Qd,DBSM/M/Klemm,"III 3, 17 a","III 3, 17 a","Sammelband mit ""Füllmaterial"" : ", : ,Band mit angebundenen Werken,,,,,,,,,,1,02
998923478,L-1524-167207652,Aal,DBSM/M/Klemm,"III 3, 17b","III 3, 17b",Ain @Sermon von|| der frucht vnnd nutz=||barkait des hay=||ligen Sacra||ments.|| : , : ,[4] Bl.,,,,,,,,,,1,02
1138061182,L-9999-414378776,Qd,DBSM/M/Klemm,"III 3, 18","III 3, 18",Sammelband : , : ,Band mit angebundenem Werk,,,,,,,,,,1,02
1002988691,L-1525-178547425,Aal,DBSM/M/Klemm,"III 3, 18a","III 3, 18a","Vonn entlichenn Klagenn, die der|| Allmechtig Got thut durch sey||ne knecht die weissagenn yetz|| in disen zeytten wol zu|| behertzigenn 2c:|| Ysaias.", : ,"[5] statt [6] Bl., Sign. A[4] - B[1]",,,,,,,,d. letzte leere Bl. fehlt,,1,02
1066937036,L-1535-315464844,Aaf,DBSM/M/Klemm,"III 3, 20","III 3, 20",SPiegel der waren|| Rhetoric/ auß Marco Tullio Cice=||rone: vnd andern geteütscht/ Mit jren|| glidern kluger reden/ Sandtbrieffen vnd Formen mancher C, : ,"[6], CXXXII Bl.",,,,,,,,,,1,02
106694248X,L-1535-315470097,Aaf,DBSM/M/Klemm,"III 3, 21","III 3, 21",HErodotus der aller|| hochber#[ue]mptest Griechische geschicht=||schreyber/ von dem Persier/ vnd vilen andern krie=||gen vnd geschichten/ #[et]c. Durc, : ,"[6], CXLVI Bl. Ill (Titelholzschn., Holzschnitte)",,,,,,,,,,1,02
1066858500,L-1535-315317280,Aaf,DBSM/M/Klemm,"III 3, 22","III 3, 22",Officia M.T.C.|| AJn Bůch|| So Marcus Tullius|| Cicero ...|| inn Latein geschriben|| Wölchs : , : ,"[8], XCI Bl.",,,,,,,,,,1,02
1066963193,L-1540-31549347X,Aaf,DBSM/M/Klemm,"III 3, 23","III 3, 23",Des @Hochgel#[oe]rtestën|| philosophen/ warhafftigsten Geschicht||schreibers/ vnd allertheürsten Hauptmans Xenophontis Com=||mentarien vnd beschreibun, : ,"[6], CCXLI Bl.",,,,,,,,,,1,02
1066964483,L-1522-315494719,Aaf,DBSM/M/Klemm,"III 3, 23 a","III 3, 23 a",Ein @Sermon von|| der trostung des heyligengeists yn|| verfolgung. vber das Euangelion|| Wann der heylige geist der troster|| kompt. Johan. xv.|| D. M, : ,[4] Bl.,,,,,,,,,,1,02
1002922046,L-1544-178431168,Aal,DBSM/M/Klemm,"III 3, 23b","III 3, 23b","IOANNIS LODOVICI VIVIS|| Von gebirlichē|| Thun vnd Lassen aines Ehemanns|| : ain buch, Versteütscht vnd erklärt", : ,"[4], 60 Bl.",,,,,,,,,,1,02
1066956219,L-1537-315486937,Aaf,DBSM/M/Klemm,"III 3, 24","III 3, 24","Odyssea,|| Das seind die aller zierlichsten vnd|| lustigsten vier vnd zwantzig b#[ue]cher des eltisten kunst-||reichesten Vatters aller Poeten Homeri/", : ,"[6], CII Bl.",,,,,,,,,,1,02
1066941874,L-1522-315469528,Aaf,DBSM/M/Klemm,"III 3, 25","III 3, 25",Diß ist ein iemerliche|| clag vber die Todten fresser:|| : , : ,[4] Bl.,,,,,,,,,,1,02
1066963703,L-1525-315493941,Aaf,DBSM/M/Klemm,"III 3, 26","III 3, 26",Dyse @Practica vnnd : , : ,[46] Bl.,,,,,,,,,,1,02
1066957665,L-1522-31548828X,Aaf,DBSM/M/Klemm,"III 3, 27","III 3, 27",Ain. Sermon.|| Secundu Lucam am. 16.|| võ dem verdampten reyche man/ Vñ|| des selig? armen Lazaro Kürtzlich|| geprediget/ V. D. Mar. Lu. Zu|| Witten. , : ,[6] Bl.,,,,,,,,,,1,02
1000479455,L-1523-170696316,Aal,DBSM/M/Klemm,"III 3, 27 a","III 3, 27 a","Von {Rew,|| Bericht|| Büß||} Beschluß : Von ReuW|| Bericht ; Büß. kurtzer|| beschluß auß gegrünter schrift|| nit auß mēschenleer ; Durch|| Doc. Vrbanu", : ,[7] Bl.; Sign.: A4 - B3,,,,,,,,Bl. 8 (d.i. leer Bl.) fehlt,,1,02
996725954,L-1524-162673280,Aal,DBSM/M/Klemm,"III 3, 27 c","III 3, 27 c","Ein @kurtzer begrif|| von gutten werchenn, dye|| gott behagen, vn der welt|| ain spot seynd, yetz ein gro||se klag, wye nyemat mer|| guts thu, vnd all", : ,[4] Bl.,,,,,,,,,,1,02
1001776801,L-1523-175552843,Aal,DBSM/M/Klemm,"III 3, 27b","III 3, 27b",Ain. @Sermon|| Kutzs [!] begryffs. jx. hayl=||samer leer inhalten auß Paulo|| Ad Ro. j. Ge=zogn̄ durch Doct.|| Johan Speyser vō Vorch||aim zu Augspurg, : ,[4] statt [8] Bl.; Lage B fehlt,,,,,,,,,,1,02
993973221,L-1523-15411331X,Aal,DBSM/M/Klemm,"III 3, 27d","III 3, 27d",Arttickel So|| Die zwen pündt|| Des gleychenn|| Burgermayster Radt vnnd ge||main der Stat Chur|| mitt sampt||den vier derffernn|| vnnd der her-||schaf, : ,[4] Bl.,,,,,,,,,,1,02
997856157,L-1523-165117486,Aal,DBSM/M/Klemm,"III 3, 28","III 3, 28","Ein @Sermon [Lucas 21, 33] von Brü=||der Hainrich von Kettenbach|| Barfürssers, wider die falschen Aposteln, die da|| haben geprediget, die Prelaten m", : ,[7] u. 1 leer. Bl.,,,,,,,,Sign.: A-B4,,1,02
1002053153,L-1524-176403655,Aal,DBSM/M/Klemm,"III 3, 29","III 3, 29","Ain @New wunderbarlich Beycht||beuchlein in dem die warhafftig gerecht|| Beycht vnd beußfertigkait Christen=||lichen geleert vnd angezaygt wirt,|| vñ ", : ,"[16] Bl., Sign. A - D[4]",,,,,,,,,,1,02
999177729,L-1525-167684566,Aal,DBSM/M/Klemm,"III 3, 30","III 3, 30","Offenbarung der allrheim||lichisten heymlicheit, der ytzigen Baals priester,|| durch wölche, die welt lange zyt geblendt|| vn[d] das lyden Christi jhä", : ,"[62] Bl., Sign.: A - O4, P2, Q4",,,,,,,,,,1,02
1000152936,L-1527-170103552,Aal,DBSM/M/Klemm,"III 3, 31","III 3, 31","Ein @anzaigen auß lautrer ge||gründter ge=schrifft, des Göttlichen, Gaystlichen, vnnd|| Weltlichen gewalts, Auch der erwölung der diener, oder|| Richt", : ,"[2], 90 Bl. Sign.: A-Z[4]",,,,,,,,,,1,02
994061757,L-9999-154449180,Aal,DBSM/M/Klemm,"III 3, 32","III 3, 32",Expositio misteriorum miss[a]e|| christi passione deuotissime figurantiu[m] .metrice|| atq[ue] prosayce posita : Et verus modus rite cele=||brandi cun, : ,[24] Bl.,,,,,,,,Sign. a-d6,,1,02
999175432,L-1546-167648829,Aal,DBSM/M/Klemm,"III 3, 33","III 3, 33","Vrsach|| Warumb die Stende,|| so der Augspurgischen Confession an||hangen, Christliche leer erstlich angenom||men, vnnd endtlich dabey zuuer||harren g", : ,"[26] Bl., Sign. A8 - G2",,,,,,,,,,1,02
997855789,L-1522-165117257,Aal,DBSM/M/Klemm,"III 3, 34","III 3, 34","Ain @nutzliche Pre||dig Zu allen Cristen : Vo[?] dem ||fasten, vn[?] feyren [Exodus 20,12] geprediget|| worden ; von bruder Heinrich ketten||bach Barf", : ,"[6] Bl.; Sign,: A4 -B2",,,,,,,,Sign.: A4-B2; Mit zahlr. hs. zeitgen. Randbemerkgn,,1,02
1066865930,L-1556-31532421X,Aaf,DBSM/M/Klemm,"III 4, 1","III 4, 1","Epitaphia, Epi||grammata & Ele-||giae aliquot doctorum & illustrium|| uiroru, in funere ...|| Principis ac Domini, D.|| PHILIBERTI A RYE, Epi-||scopi ", : ,109 S.,,,,,,,,,,1,02
1066847150,L-1501-315306459,Aaf,DBSM/M/Klemm,"III 5, 1","III 5, 1",(Liber horarũ canonicarũ: sm nouã|| imperialis ecc#[l]ie Bambergeñ. rubricã||) [Hrsg. v. (Vitus ... Episcopus Babenbergẽsis ...||)] : , : ,"[8], CLXXVI [i.e. 165], LII, CLXXIX, [4] Bl.",,,,,,,,Initiale auf Bl.I illuminiert,,1,02
1066961883,L-1512-315492287,Aaf,DBSM/M/Klemm,"III 5, 2","III 5, 2",Statuta Diocesana siue Synodalia Reuerendissimi|| in Christo patris.Jllustris#[que] principis et dñi.domini|| Johãnis.dei et Ap#[l]ice sedis gratia Ad, : ,[29] Bl.,,,,,,,,,,1,02
106696243X,L-1507-315492791,Aaf,DBSM/M/Klemm,"III 6, 1","III 6, 1",Vite ducẽto#[rum] et triginta summo#[rum]|| pontificũ: a beato Petro apostolo|| vs#[que] ad Juliũ secundũ modernum|| Pontificem.|| : , : ,[45 statt 46] Bl.,,,,,,,,,,1,02
1066798702,L-1510-315218819,Aaf,DBSM/M/Klemm,"III 6, 2","III 6, 2",Gabrielis Biel ... Sacri canonis Missae tam mystica quam litteralis expositio : , : ,"269, [13] Bl.",,,,,,,,,,1,02
1066871604,L-1507-315329408,Aaf,DBSM/M/Klemm,"III 6, 4","III 6, 4",Kronica von der|| loblichen Eydt||gnoschaft Jr har||kōmen vnd sust : , : ,"[8], CXXIIII Bl.",,,,,,,,,,1,02
1066959587,L-1509-31549011X,Aaf,DBSM/M/Klemm,"III 6, 5","III 6, 5",Doctor Brants Narrenschiff|| ... Nüt on vrsach|| Uor hab ichs narren schiff gedicht|| Mit grosser arbeyt vff geriecht|| Und das mit doren also geladen, : ,"[1], CLXIIII[=163] Bl.",,,,,,,,,,1,02
1066960372,L-1516-315490861,Aaf,DBSM/M/Klemm,"III 6, 6","III 6, 6",Das @Plenarium|| Oder Ewangely buoch: Sum||mer vñ Winterteyl/ durch das gantz iar in ein? ied? Son=||tag/ von der zeyt/ vnd von d? Heiligen. Die orden, : ,"[8], CCLXXVIII Bl.",,,,,,,,,,1,02
1066959099,L-1516-315489715,Aaf,DBSM/M/Klemm,"III 6, 6 a","III 6, 6 a",Petri Lombardi|| Parrhysiensis ecclesie quon/||dam antistitis: viri diuinaru reru eru/||ditissimi: Sententiarum Textus: per capitula ...|| recenter di, : ,"[6],213.[27] Bl.",,,,,,,,,,1,02
1002641578,L-1522-177748214,Aal,DBSM/M/Klemm,"III 6, 6d","III 6, 6d",[Das @Wolffgesang|| Eyn ander hertz/ ein ander kleid/ Tragẽ falsche w#[oe]lff in d ̀heyd|| ...|| : , : ,"Bogen A [= Bl. 1 - 4] einschl. Titelbl., Sign. B - E4 u. 2 Bl. ohne Sign.",,,,,,,,fehlt Bl. [5 - 21] u. [1] leer Bl.,,1,02
1066958378,L-1523-315488999,Aaf,DBSM/M/Klemm,"III 6, 7","III 6, 7",Ein @nutzlich vnd|| fast tr#[oe]stlich predig/ o#///d vn||derrichtug/ wie sich ein|| Christen mensch mit freud? bereyten sol|| zu sterben/ Beschriben , : ,[12] Bl.,,,,,,,,,,1,02
1137966890,L-9999-414282183,Qd,DBSM/M/Klemm,"III 6, 8","III 6, 8",Sammelband : , : ,Band mit angebundenem Werk,,,,,,,,,,1,02
1066961395,L-1532-315491809,Aaf,DBSM/M/Klemm,"III 6, 9","III 6, 9","STEPHANI NI-||GRI QVAE QVIDEM PRAESTARE SVI|| NOMINIS AC STVDIOSIS VTILIA NOVE=||rimus monimenta, nempe translationes:|| Iconum Philostrati:|| Aureoru", : ,"[12] Bl., 405[=407], [1] S.",,,,,,,,,,1,02
1066800375,L-1534-315220279,Aaf,DBSM/M/Klemm,"III 6, 10","III 6, 10",Rabani Mavri Mogvntinensis Archiepiscopi Commentaria in Hieremiam Prophetam... : , : ,"[6], 226, [2] Bl.",,,,,,,,,,1,02
1138245585,L-9999-414749553,Qd,DBSM/M/Klemm,"III 6, 11","III 6, 11",Sammelband mit zwei Werken von Publius Ovidius Naso : , : ,Band mit angebundenem Werk,,,,,,,,,,1,02
1000007804,L-1538-169844722,Aal,DBSM/M/Klemm,"III 6, 11 a","III 6, 11 a","Philonis|| Ivdaei Alexandrini, (Cvivs Do||ctrinae & orationis sublimitatem grauissi||mi autores etiam ipsi diuino Platoni|| aequaru[n]t) omnes quae ap", : ,"[6], [2] leere Bl., 253 S., [1] Bl.",,,,,,,,Zeitgen. Halbbd m. Blindpressg auf Schweinsldr,,1,02
997393971,L-1555-163773319,Afl,DBSM/M/Klemm,"III 6, 11 b","III 6, 11 b","Opera Q. Horatii Flacci Venusini, Gram[m]aticorum antiquiss[imorum] Helenii Acronis, et Porphirionis commentariis illustrata, admixtis interdum C. Aem",1 : ,"[36] Bl., 463 S., Sign. a4, b - e6, f - g4; A - Z6; Aa - Oo6, P4, Q6",,,,,,,,,,1,02
997394153,L-1555-163773475,Afl,DBSM/M/Klemm,"III 6, 11 b","III 6, 11 b","Opera Q. Horatii Flacci Venusini, Gram[m]aticorum antiquiss[imorum] Helenii Acronis, et Porphirionis commentariis illustrata, admixtis interdum C. Aem",[T. 2] : ,"[4] Bl., S. 701 - 1300, [2] Bl., S. 1301 - 1411, Sign. 4, AA - ZZ6; AAa - ZZz6; AAA - OOO6",,,,,,,,,,1,02
99889818X,L-1557-167183141,Aal,DBSM/M/Klemm,"III 6, 11 c","III 6, 11 c","Prodigi|| orvm ac|| ostentorvm|| chronicon,|| Quae praeter naturae ordinem, motum, et operationem et in svperioribus et his inferioribus mundi regioni", : ,"[6] Bl., 670 S.",,,,,,,,"Es fehlen: S. 247/48, 281/82, 413/414, 523/24 u. ungez. letzt. Bl.",,1,02
99723816X,L-1516-163533857,Afl,DBSM/M/Klemm,"III 6, 12","III 6, 12",[Omnium operum Divi Eusebii Hieronymi ... tomus ... una cum argumentis et scholiis Des[iderii] Erasmi Roterodami],"6. : Sextus t. ... Commentarios in duodecim prophetas, quos minores vocant, iuxta utramque transl. cont.",135 Bl.,,,,,,,,Bd. 6 und 7 in einem Band. - Mit hs. Eintragungen,,1,02
997238208,L-1516-163533954,Afl,DBSM/M/Klemm,"III 6, 12","III 6, 12",[Omnium operum Divi Eusebii Hieronymi ... tomus ... una cum argumentis et scholiis Des[iderii] Erasmi Roterodami],7. : In Parabolas Solomonis commentarii,"118 Bl., [1] Bl.",,,,,,,,Bd. 6 und 7 in einem Band. - Mit hs. Eintrag.,,1,02
997238364,L-1516-163534160,Afl,DBSM/M/Klemm,"III 6, 12","III 6, 12",[Omnium operum Divi Eusebii Hieronymi ... tomus ... una cum argumentis et scholiis Des[iderii] Erasmi Roterodami],8. : Octavus t. Commentarios in Psalterium habet,"104, [96] Bl.",,,,,,,,T. 8 und 9 in einem Band. - Restaurierungsbericht liegt bei,,1,02
997238526,L-1516-163534381,Afl,DBSM/M/Klemm,"III 6, 12","III 6, 12",[Omnium operum Divi Eusebii Hieronymi ... tomus ... una cum argumentis et scholiis Des[iderii] Erasmi Roterodami],"9. : Complectens Commentarios in Matthaeum et Marcum et in divi Pauli Epistolas, videlicet ad Galatas, Ephesios, Titum, Philemonem","187, [4] Bl. m. Holzschn. u. Holzschn.-Init., Bl. 188 - 203, [1] Bl.",,,,,,,,T. 8 und 9 in einem Band,,1,02
1137896493,L-9999-414175085,Qd,DBSM/M/Klemm,"III 6, 13","III 6, 13",Sammelband : , : ,Band mit angebundenem Werk,,,,,,,,,,1,02
1066871159,L-1520-315328991,Aaf,DBSM/M/Klemm,"III 6, 14","III 6, 14",MARTINI|| DORPII SACRAE THEO||logiae professoris Oratio in|| prælectionem episto-||larum diui Pauli.|| ... Epistola ERASMI ad Dorpiū.|| : , : ,55 S.,,,,,,,,,,1,02
1002284589,L-1522-176986065,Afl,DBSM/M/Klemm,"III 6, 14a","III 6, 14a","Novum Testamentum omne [griech. u. lat.], tertio iam ac diligentius ab Erasmo Roterodamo recognitum ... una cum Annotationibus recognitis, ac magna ac",[1.] : ,"[34] Bl., 562 S., [1] Bl. Drucker-Signet",,,,,,,,Es fehlt Pars 2 mit d. annotationes. - Zeitgen. Interlinearglossen,,1,02
1000490092,L-1517-170718212,Aal,DBSM/M/Klemm,"III 6, 14b","III 6, 14b",Michae-||lis Ritii Neapo||litani|| De regibus Francoru lib. III.|| De regibus Hispaniae lib. III.|| De regibus Hierosolymo-||rum lib. I.|| De regibus , : ,"85, [5] Bl.",,,,,,,,,,1,02
999154273,L-1522-167627902,Aal,DBSM/M/Klemm,"III 6, 14c","III 6, 14c","IO. FROB. PIO LE||CTORI S. D.|| Thesaurum haudquaq uulgarem tibi lector exhibe||mus hoc volumine, Paraphrasin in Euangelium Mat||thaei nuc primu natam", : ,"[8] Bl., 153 [vielm. 179], 462 S.",,,,,,,,,,1,02
