idn,titel,jahr,signatur,qd_verknuepfung_art,qd_idn
572259220,"Arcana moralia, olim ab ill. comite Francisco Bernio ... nunc vero cum coniecturis et indicibus omnium usibus exposit Paulus Pater",1687,1919 A 9479,DNB,572259220
573012113,"Bibliotheca philologica oder Alphabetisches Verzeichnis derjenigen Grammatiken, Wörterbücher, Chrestomathien, Lesebücher und anderer Werke, welche zum Studium der griechischen und lateinischen Sprache gehören, und vom Jahre 1750, zum Theil auch früher, bis zur Mitte des Jahres 1852 in Deutschland ersch. sind",1853,1919 A 4199,DNB,573012113
573012113,"Bibliotheca philologica oder Alphabetisches Verzeichnis derjenigen Grammatiken, Wörterbücher, Chrestomathien, Lesebücher und anderer Werke, welche zum Studium der griechischen und lateinischen Sprache gehören, und vom Jahre 1750, zum Theil auch früher, bis zur Mitte des Jahres 1852 in Deutschland ersch. sind",1853,Bö F III 426,DNB,573012113
573101841,Bibliotheca Aldina,1933,1933 A 9851,DNB,573101841
573101841,Bibliotheca Aldina,1933,Bö C V 1711,DNB,573101841
573101841,Bibliotheca Aldina,1933,Bö C VII 2698,DNB,573101841
573101841,Bibliotheca Aldina,1933,Af 176,DNB,573101841
573270333,Weitere Beiträge zur Geschichte des Handschriftenhandels im Mittelalter,1855,1921 A 9092,DNB,573270333
573270333,Weitere Beiträge zur Geschichte des Handschriftenhandels im Mittelalter,1855,Ea 17,DNB,573270333
573270333,Weitere Beiträge zur Geschichte des Handschriftenhandels im Mittelalter,1855,Bö C I 47,DNB,573270333
573553424,Ein @Bruderzwist in Habsburg,1872,1920 A 3157,DNB,573553424
573553424,Ein @Bruderzwist in Habsburg,1872,Va 2018,DNB,573553424
573553580,Libussa,1872,1920 A 3158,DNB,573553580
573553580,Libussa,1872,Va 2018,DNB,573553580
574268049,150 Jahre Papiermaschine,1949,1950 A 9671,DNB,574268049
574268049,150 Jahre Papiermaschine,1949,Bb 597,DNB,574268049
574292152,Leitfaden für Buchbinder,1929,1929 A 8993,DNB,574292152
574292152,Leitfaden für Buchbinder,1929,Fb 65,DNB,574292152
575474556,"Die @Erlösung vom religiösen, politischen und wirtschaftlichen Übel",1927,1927 A 3242 - Werbebl.,DNB,575474556
575474556,"Die @Erlösung vom religiösen, politischen und wirtschaftlichen Übel",1927,Bö C VII 3021,DNB,575474556
575474572,"Sozialisten und Kommunisten, verbrüdert Euch!",1927,1927 A 10887,DNB,575474572
575474572,"Sozialisten und Kommunisten, verbrüdert Euch!",1927,Bö C VII 3021,DNB,575474572
575617349,"Series augustorum, augustarum Caesarum et tyrannorum omnium, tam in oriente, quam in occidente a C. J. Caesare ad Leopoldum",1702,1919 A 8557,DNB,575617349
575617349,"Series augustorum, augustarum Caesarum et tyrannorum omnium, tam in oriente, quam in occidente a C. J. Caesare ad Leopoldum",1702,"IV 407, 24",DNB,575617349
57797940X,Das @Schwalbenbuch,1924,1924 A 2605,DNB,57797940X
57797940X,Das @Schwalbenbuch,1924,"Va, 3260",DNB,57797940X
57915467X,Die @Mohamedanisch-arabische Kulturperiode,1884,1916 B 8401,DNB,57915467X
579364550,Breviarium historiae romanae [Breviarium ab urbe condita],1825,"RB XXIII, 56",DNB,579364550
580958981,Ludwig Richter als Radierer,1921,1921 B 2070,DNB,580958981
580958981,Ludwig Richter als Radierer,1921,Te 229,DNB,580958981
580958981,Ludwig Richter als Radierer,1921,"Je 4, [1]",DNB,580958981
932468195,"Lettres d'une chanoinesse de Lisbonne à Melcour, officier françois",1771,1992 Mk 224,,
932468195,"Lettres d'une chanoinesse de Lisbonne à Melcour, officier françois",1771,"IV 142, 5",,
932468195,"Lettres d'une chanoinesse de Lisbonne à Melcour, officier françois",1771,DMf 91/23,,
993420168,Zur Geschichte der planetarischen Astronomie,1981,Ga 567,,
993420834,Zur Entwicklung der Mathematik im 16. Jahrhundert,1985,Ga 567,,
99379663X,"Zeitungsdruck und Buchgewerbe - eine Einheit im Verlagsschaffen eines Engländers in Leipzig: vor 150 Jahren etablierte sich die ""Englische Kunst-Anstalt"" von Albert Payne in der Messestadt",1989,"De 124, [1]",DNB,99379663X
993835554,"Abschiedts-Puncten zwischen einem ehrsamen Rath und Bürgerschaft der Stadt Franckfurth am Mayn durch die von Röm. Kays. Majest. verordnete höchst- und hochansehenliche Herrn Commissarien vorgenohmen, beygelegt und verglichen jetzo aber von Ihr Kays. Majest. selbsten ratificirt und confirmirt",1614,"IV 114, 28",DNB,993835554
993860451,Adresy člen°u říšského sdruženi korektor°u a revisor°u v Československu sídlem v Praze,1931,Bö B III 1565,,
993861784,Les @Incunables hébraiques de la Bibliothèque nationale,1962,Ad 291,,
993861849,Le @Livre hébraique,1962,Ad 291,,
993861849,Le @Livre hébraique,1962,Ad 291a,,
99386614X,Sammlung einiger Predigten im Felde,1759,"IV 205, 91 (angebundenes Werk)",DNB,99386614X
993876544,Der @49. Staat,1948,Va 3885,,
993882242,Alberti Magni Speculum astronomiae,1615,"IV 226, 12",DNB,993882242
993882366,"Alberti Magni De secretis mulierum libellus, scholiis auctus, & à mendis repurgatus",1615,"IV 226, 12",DNB,993882366
993883435,"Agenda Das ist: Kirchen-Ordnung, wie es in d. evangelischen Kirchen d. Stadt Oßnabrück, mit Verkündigunge göttliches Worts, Reichung d. heiligen Sacramenten u. anderen christlichen Handlungen u. Ceremonien, sol gehalten werden",1652,"IV 324, 2",DNB,993883435
993883915,"Agenda, dat is, Ordninge der hilligen Kerckenempter unde Ceremonien [nieder- u.- hochdt.] Olden Stettin 1691",1690,"IV 374, 1",DNB,993883915
993888828,"Epitome|| Commen||Tariorvm Diale||Cticae Inventionis Rodol||phi Agricolae, per Bartholomaeum Latomum ... ex... eius|| opere studiose collecta",1546,"III 51, 28f",DNB,993888828
993905412,Scientific American,1898,"Ne 1, [1]",,
99390825X,Anakreontos teion medē,1784,Bö B III 180,DNB,99390825X
993908357,Im Frauwenzimmer wirt vermeldt von allerley schönen Kleidungen und Trachten der Weiber ...,1586,"IV 114, 8",DNB,993908357
993908357,Im Frauwenzimmer wirt vermeldt von allerley schönen Kleidungen und Trachten der Weiber ...,1586,"III 60, 101 (1. angebundenes Werk)",DNB,993908357
993910246,Casus speciales do=||mini Amanelli de claris aquis Legum do||ctoris excellentissimi.|| Tractatus Bartoli|| De Testibus et eorum reprobationibus.|| Casus in quibus ju=||dex secularis potest manus in personas cle||ricorum abs#[que] metu excõicationis iponere. ([v.] Bernardi laurenti||)|| De Priuilegijs clericorum (per dominum Bonicontium ...||)|| De Exemptionibus.|| De Carceribus (#[pro] dominum Baldum de Perusio||)|| De Alimentis (per dominura Bar ...||)|| Textus et glose sin=||gulares ...||,1505,"III 21, 39 (3. angebundenes Werk)",DNB,993910246
993914969,"Zum Andenken an die Erfindung der Buchdruckerkunst und an die vierte Säcularfeier derselben in Königsberg, den 5ten Dezember 1840",1840,Da 385,,
99391750X,Beschryvinge ende lof der stad Haerlem in Holland,1628,Bö C IV 207,DNB,99391750X
993918549,Vocabulario de Romānce en Latin,1516,"III 91, 1 (Angebundenes Werk)",DNB,993918549
99391909X,Dictionariū Aelij Anto||nij Nebrissen̄. nūc đmū||auctū ? recognitū:|| in quo adiecta sunt plus? decē||mille vocabula: ? ex superi-||ori edictione plus? sex-||cente dictiones in ve-||rum idioma hys||panum con||uerse.,1516,"III 91, 1",DNB,99391909X
993934420,Anleitung zur Bedienung und Instandhaltung des Zweibuchstaben-Typograph Modell B,1910,"Dbb 61, [3]",DNB,993934420
993934994,"Oratorum Graeciae praestantissimorum Antiphontis, Andocidis & Isaei Orationes XXX ... Interprete Alphonso Miniato Bononiensi",1619,"IV 146, 9a",DNB,993934994
993936261,Arbor Consangui||neitatis cum suis|| enigmatibus et,1506,"III 69, 5",DNB,993936261
99393689X,Suma Johannis An||dree Su#[pro] quarto dcretaliu ~q et si breuis ? ver||bis. vtilitate tamen lõga satis. quare alijs sum||mis prolixioribus iure venit ista #[et] cõmoditate,1505,"III 21, 39 (1. angebundenes Werk)",DNB,99393689X
99394471X,"Confutatio virulentae disputationis theologicae, in qua Georgius Sohn Professor Academiae Heidelbergensis, conatus est docere Pontificem Romanum esse Antichristum  à prophetis & apostolis praedictum",1589,"IV 230, 7",DNB,99394471X
993944892,"Des @unvergleichlichen Archimedis Kunst-Bücher oder heutigs Tags befindliche Schrifften, aus d. Griech. in d. Hoch-Teutsche übers., u. mit nohtwendigen Anm. durch u. erl. von Johanne Christophoro Sturmio [Johann Christoph Sturm] ...",1670,"IV 273, 11",DNB,993944892
993945309,"Des @unvergleichlichen Archimedis Sand-Rechnung, oder tiefsinnige Erfindung einer, mit verwunderlicher Leichtigkeit aussprechlichen, Zahl, welche er unfehlbar beweiset grösser zu seyn als die Anzahl aller Sandkörnlein, mit welchen die Höhle der ganzen Welt, biß an den äussersten Fix- oder Haft-Sternen-Himmel könnte ausgefüllet werden",1667,"IV 273, 11",DNB,993945309
993945872,Literarischer Anzeiger zu Bernhardi's Wegweiser durch die Volks- und Jugendschriften,1852,Bö F III 672,DNB,993945872
993946194,Literarischer Anzeiger zu Bernhardi Wegweiser,1856,Bö F III 672,DNB,993946194
993949185,Über die frühesten universalhistorischen Folgen der Erfindung der Buchdruckerkunst,1808,Bö D I 1,DNB,993949185
993962386,"Commentarii in quatuor Evangelistas, a Benedicto Aretio [d.i. Benedikt Marty] facili & perspicua methodo conscripti",1587,"IV 252, 1",DNB,993962386
993962564,"Commentarii in Evangelium D. nostri Iesu Christi secundum Marcum, facili & perspicua methodo conscripti",1596,"IV 252, 2",DNB,993962564
993964214,"Commentarii in sacram Actuum apostolicorum historiam, facili & perspicua methodo a Benedicto Aretio [d.i. Benedikt Marty]",1584,"IV 252, 1",DNB,993964214
993964672,"Commentarii in Novum Testamentum, a Benedicto Aretio [d.i. Benedikt Marty] facili & perspicua methodo conscripti",1595,"IV 252, 2",DNB,993964672
993965725,Das @Geheimniß der göttlichen Sophia oder Weißheit,1700,"IV 205, 37b",DNB,993965725
993965776,Neue göttliche Liebes-Funcken und ausbrechende Liebes-Flammen,1700,"IV 205, 37b",DNB,993965776
993966187,"Poetische Lob- und Liebessprüche, von der ewigen Weißheit, nach Anleitung des Hohenlieds Salomonis",1700,"IV 205, 37b",DNB,993966187
993972578,Encomion chalcographiae,1585,Bö F III 47/4°,DNB,993972578
993972705,"Die @Hervorhebung der Dr. Luthers-Kanzel zu Eisleben, worauf d. Glaubensheld zuletzt gepredigt hat, so wie d. treuen Abb. derselben",1848,Va 3657,DNB,993972705
993972756,Ariosto,1809,Ve 113,,
993972888,Artikel des Buchdrucker-Unterstützungs-Instituts,1857,Bö B III 842,,
993973051,Ariosto,1804,Vd 262,,
993973124,"Artikel der Hamburg-Altonaischen Buchdrucker-Wittwen-Casse, in Verbindung mit einer Sterbe-Casse für Buchdrucker-Frauen. No. 247",1861,Bö B III 844,DNB,993973124
993973418,Satire di Lodovico Ariosto,1809,Ve 113,,
993974732,"Arrêt de la Cour de Parlement, qui ordonne, qu'un Imprimé in-4°, intitulé: ""Mémoire justicatif, pour trois hommes condamnés à la roue""",1786,Bö E IV 387/4°,DNB,993974732
99399198X,W[illiam] Moon's neu erfundene Blindenschrift,1862,Da 1075/2,DNB,99399198X
994000480,Alfabete des gesammten Erdkreises,1855,Bö B III 168/2°,DNB,994000480
994000669,Atlas l'Europe et l'Asie soviétique,1972,Vd 432,,
994005849,Die @Ringer-Kunst des Fabian von Auerswald,1869,"VI, 49",,
994012039,"Ausstellung ""10 Jahre Aufbauarbeit einer volkseigenen Papierfabrik"", veranstaltet vom VEB Papierfabrik Schwedt in Verbindg mit dem VEB Papierfabrik Greiz und dem Deutschen Papiermuseum",1959,"Pd 19, [1] (angebunden)",DNB,994012039
994012039,"Ausstellung ""10 Jahre Aufbauarbeit einer volkseigenen Papierfabrik"", veranstaltet vom VEB Papierfabrik Schwedt in Verbindg mit dem VEB Papierfabrik Greiz und dem Deutschen Papiermuseum",1959,"Be 34, [1]",DNB,994012039
994023200,Auffindung einer Gutenbergpresse in Mainz,1856,Da 112,,
994024851,Aufruf an die evangelischen Gemeinden,1845,Va 3657,DNB,994024851
994025483,"Avvertimenti d'un padre ad un giovane nobile circa glierrori che corrono nel mondo intorno la szienza, chiamata cavalleresca, o d'onore",1717,"IV 289, 1 (Angebundenes Werk)",DNB,994025483
994026277,"Des @Durchlauchtigsten Hochgebornen Fürsten und Herrn, Herrn Augusten, Hertzogen zu Sachsen ... Ausschreiben: Wie es auff der Landschafft bey jüngstem zu Torgaw gehaltenem Landtage, underthenigste Bitte, und räthliches bedencken, in etzlichen Artickeln, Policey und Justicien belangend, gehalten solle werden",1583,"IV 90, 3",DNB,994026277
994026358,"Des @Durchlauchtigsten Hochgebornen Fürsten und Herren, Herren Augusten, Hertzogen zu Sachsen ... Ausschreiben: Wie es auff der Landschafft bey jüngstem zu Torgaw gehaltenem Landtage, underthenigste Bitte, und räthliches bedencken, in etzlichen Artickeln, Policey und Justitien belangende, gehalten solle werden",1588,"IV 90, 4 (angebundenes Werk)",DNB,994026358
994027753,"Des @Durchlauchtigsten Hochgebornen Fürsten und Herren, Herrn Augusten, Hertzogen zu Sachsen ... Verordnungen und Constitutionen des rechtlichen Proces ...",1584,"IV 90, 3",DNB,994027753
994029349,"Des|| @Dürchlaüchtigsten|| Hochgebornen F#[ue]rsten vnd|| Herren/ Herrn Augusten/ Hertzogen zu Sachssen ...|| Verordenungen vnd Constitutionen,|| des Rechtlichen Proces, auch waßer massen etzlicher zwei=||uelhafftiger fell halben/ durch die ...|| Hoffgerichte/ Juristen Faculteten/ Sch#[oe]ppenst#[ue]le/ auch|| andere Gerichte ...|| zu Recht erkandt vnd gespro=||chen werden sol.|| ...",1586,"IV 90, 4",DNB,994029349
994042248,"Bibliotheca selectissima sive catalogus librorum magnam partem philologicorum quos inter eminent auctores graeci et romani classici, quosque magno studio collegit",1773,"Od 172, [1]",DNB,994042248
994052561,"[J.] Barnard & Son's illuminating colours, colour boxes, etc.",1902,Bö B I 243,,
994054076,"LAZARI|| BAYFII VIRI DOCTISSI||MI COMMENTARIVS DE VE||stium generibus & uocabulis, in L.||uestis, ff. de auro & argento,|| seu re uestiaria",1530,"III 21, 21 a (7. angebundenes Werk)",DNB,994054076
994060831,"Das @in Dessau errichtete Philanthropinum, eine Schule der Menschenfreundschaft und guter Kenntnisse für Lernende und junge Lehrer, arme und reiche ...",1774,"IV 205, 14 i",DNB,994060831
994060866,"Rede für das pädagogische Philanthropinum in Dessau, von Johann Bernhard Basedow [in einigen Schriften Bernhard aus Nordalbingien]",1775,"IV 205, 14 i",DNB,994060866
994065868,"Catalogue de la collection bibliographique et des autres livres composant la bibliothèque de feu M. Olivier Barbier, conservateur sous-directeur adjoint à la Bibliothèque Nationale",1883,"Od 68, [1]",DNB,994065868
994090315,Neues Schatzkästlein der Jugend,1851,Va 494,,
99409499X,Gedenk-Buch der vierten Jubelfeier der Erfindung der Buchdruckerkunst in Mainz,1840,Da 112,DNB,99409499X
99409499X,Gedenk-Buch der vierten Jubelfeier der Erfindung der Buchdruckerkunst in Mainz,1840,Bö C V 560,DNB,99409499X
994095201,"Magdeburgischer Beytrag zum Lobe Gottes wegen der vor dreyhundert Jahren erfundenen Buchdrucker-Kunst, anzeigend, wie das Andencken dieser göttl. Wohlthat in denen sämtlichen evangel. luth. Stadt-Kirchen, ingleichen v. d. Stadt-Schule, am 1. Advents-Sonntag 1740 und in der darauf folgenden Woche danckbarlich sey erneuret worden",1740,Bö C V 548,DNB,994095201
99409566X,"Duas ultimas Palavras sobre a questão entre partes Castilho, e Filippe de Sousa Belford",1844,Bö E IV 1456/4°,,
994098685,Bekanntmachung in Betreff des Wanderns der Gewerbs-Gehülfen,1833,Ba 632,,
994116950,"A @list of educational books for private and university students, also for use in Public schools, and Middle class, Elementary, and National schools",1875,Bö F III 113,DNB,994116950
994118015,Hohenkruger Wasserzeichen in alter und neuer Zeit,1910,Ba 339,DNB,994118015
994120893,Nächte,1838,Va 2476,,
99412094X,Der @fahrende Poet,1838,Va 2476,,
994128231,"Adriani Beieri, JCti Boethvs.",1717,"IV 162, 18 (2. angebundenes Werk)",DNB,994128231
994128258,Bemerkungen über das vorliegende Maisfaser-Papier,19XX,Bö B II 202,,
99412838X,Adriani Beieri De collegiis opificum,1727,"IV 162, 18 (3. angebundenes Werk)",DNB,99412838X
994128444,D. Adriani Beieri De instrumentis opificvm,1722,"IV 162, 18 (5. angebundenes Werk)",DNB,994128444
994128541,D. Adriani Beieri De iure prohibendi qvod competit opificibvs et in opifices,1721,"IV 162, 18 (4. angebundenes Werk)",DNB,994128541
994128657,"Adriani Beieri, JCti Magister",1719,"IV 162, 18",DNB,994128657
994128738,Adriani Beieri JCti & P.P. Tyro,1717,"IV 162, 18 (1. angebundenes Werk)",DNB,994128738
994129459,,1759,"IV 205, 91",DNB,994129459
994133790,Catalogue des estampes anciennes composant la superbe collection de M. Pierre Beresoff à Moscou,1882,Da 39,,
994151497,"Kurtzer doch gründlicher Bericht von denen jenigen Kräutern und Gewächsen, welche allein durch Göttl. Verordnung und Pflege um Leipzig gefunden und erhalten werden",1745,"IV 90, 15 c (angebundenes Werk)",DNB,994151497
994158823,"Der @Buchhändler, oder Anweisung, wie man durch den Buchhandel zu Ansehen und Vermögen kommen kann",1825,Bö D III 7,DNB,994158823
994158823,"Der @Buchhändler, oder Anweisung, wie man durch den Buchhandel zu Ansehen und Vermögen kommen kann",1825,5/Buch,DNB,994158823
994159072,Bernhardi,1852,Bö F III 672,,
994159242,Bernhardi,1856,Bö F III 672,DNB,994159242
994161417,"Kurtze, doch nützliche Anleitung von Form- und Stahl-Schneiden, wie Buchstaben, Zierrathe ... in Holtz zu schneiden ...",1740,Fb 3,DNB,994161417
994161956,Bestimmungen für die Benutzung der Bibliothek Vorbilder- und Ornamentstich-Sammlung der Königlichen Kunstgewerbeschule zu Dresden durch das Publikum,1886,Bö G II 83,,
994162081,Neue Bestimmungen zu den im Jahre 1857 im Kraft getretenen Artikeln des Buchdrucker-Unterstützungs-Instituts,1861,Bö B III 842,,
994162103,"Bericht [1907 - 1913, 1915: Jahresbericht] und Abrechnung für das Vereinsjahr ... nebst Statistik u. Mitglieder-Verzeichnis 1902/1903 - 1926",1902,"Df 84, [1]",,
994183321,"Meine Ausicht von der Geschichte, Ausbildung und Verbreitung der Buchdrucker Kunst",1807,Da 112,,
994184085,"Kurze Betrachtung über die Seligkeit eines Gläubingen, in dessen Herzen Jesus wohnt",1777,"IV 144, 18c (1. angebundenes Werk)",DNB,994184085
994184468,St. Ulrichs Leben,1844,Aa 31,DNB,994184468
994187653,"St. Johannis III, 16 in den meisten der Sprachen und Dialecte, in welchen die Britische und Ausländische Bibel-Gesellschaft die Heilige Schrift gedruckt und verbreitet hat",1879,Ga 79,DNB,994187653
994193777,"Biblia, das ist die ganze Heil. Schrift Alten und Neuen Testaments Nach d. Übers. Martin Luthers",1761,"IV 245 A, 2",DNB,994193777
994194056,Beygang,1797,Af 120,DNB,994194056
99419658X,QVESTIONVM|| ET|| RESPONSIONVM|| CHRISTIANARVM|| Libellus|| IN quo praecipua Christianae Religionis|| capita kat' epitomēn  pro-||ponuntur||,1571,"IV 363, 1",DNB,99419658X
994215738,"[Malachias, Caput 4]",1524,"III 73, 40 b",DNB,994215738
994227698,Wer ist musikalisch?,1895,Vu 93,DNB,994227698
994227973,Sturm-Marsch-Galopp,1845,"Vab, 113",DNB,994227973
994251505,"Ailianou Poikiles historias, Biblia, Id. Ek ton Erakleidou peri politeion ypomnema Polemonos physiognomonikon enkeiridion Adamantiou sophistou physiognomonikon, Biblia b. Melampodos peri Palmon mantike peri Elaion tou somatos. Aeliani Variae historiae libri XIIII. Ex Heraclide De rebus publicis commmentariorum. Polemonis Physionomia. Adamantii Physionomia. Melampodis Ex palpitationibus diuinatio, De neuis",1545,"III 83, 4",DNB,994251505
994251912,"Acta, die gesuchte Extension des der Pappier Mühle zu Cospuden ehedem verliehenen Privilegii aufs Hader Sammlen cum jure prohibendi betref",1737,Bö H 156/4°,DNB,994251912
994257678,Zločesta Krǐstinka,1870,Vo 99,DNB,994257678
994259921,Erfolgreicher internationaler Handel auf der Leipziger Herbstmesse 1964,1964,Bb 178,,
994260024,Il @Decameron di Giovanni Boccaccio,1573,"IV 110, 1 a",DNB,994260024
994260679,"VVB Zellstoff, Papier, Pappe Heidenau/Sa.",1964,Bb 178,,
994261357,Le @Decameron,1850,Vd 245,DNB,994261357
994269471,Die @Marmorirkunst,1880,Bö B V 129,DNB,994269471
994286554,Zugabe oder Anhang von der Herold-Mahl- und Reiß-Kunst,1761,Kb 5,DNB,994286554
994286554,Zugabe oder Anhang von der Herold-Mahl- und Reiß-Kunst,1761,Bö B III 987,DNB,994286554
994286570,Verzeichniß des Verlags Hermann Böhlau in Weimar,1875,Da 175,DNB,994286570
994286651,Nederuytsche geestelyke Boeken,19XX,Bö C VIII 667,,
994289839,"Catalogue de livres français, grecs, latins, allemands, anglais, espagnols, italiens, portugais, orientaux",1847,Bö D VII 1290,DNB,994289839
994290551,Commentaria in titulum XXXIII libri IIII codicis qui inscribitur de usuris,1583,"IV 150, 1a",DNB,994290551
994290853,Book list,1899,Gbb 180,DNB,994290853
99429137X,Abraham Bossens gründliche Anweisung zur Radier- und Etzkunst,1761,Kb 5,DNB,99429137X
99429137X,Abraham Bossens gründliche Anweisung zur Radier- und Etzkunst,1761,Bö B III 987,DNB,99429137X
994291477,"The @book of common prayer, and administration of the sacraments, ... together with the psalter ...",1747,"IV 216, 43",DNB,994291477
994291582,"The @book of common prayer, and administration of the sacraments, ... together with the psalter ...",1767,"IV 286, 6",DNB,994291582
99429333X,Abraham Bossens gründliche Anweisung zur Radier- und Etz-Kunst ... [Samt e. Discours von der Mahlerey],1745,Bö B III 986,DNB,99429333X
994303181,Books printed by Aldus Manutius and his successors,1933,Bö C V 1711,DNB,994303181
994305729,Curioser Botanicus,1745,"IV 90, 15 c",DNB,994305729
994307772,Ein @Beitrag zur Eisenstädter Druckerei des 18. Jahrhunderts,1956,Da 524,DNB,994307772
994312334,Ein @unbekannter Manlius-Kalender,1957,Da 524,DNB,994312334
994313209,Lettres de L. B. Lauraguais [d.i. Louis Léon Félicité Brancas] à Madame ...,1802,"IV 142, 5",DNB,994313209
994313225,"La @Minera del mondo, dell' illvstre S. Giovanni Maria Bonardo Frattegiano conte, ... Mandato in luce, e dedicato da Luigi Grotto Cieco d'Hadria",1585,"IV 407, 20",DNB,994313225
994314051,"Gläntzende Tauben-Flügel, das ist",1675,"IV 51, 5b",DNB,994314051
994314280,Moderne deutsche Exlibris,1908,Bö F II 300/2°,DNB,994314280
994315570,Catalogo della libreria di Carlo Branca in Milano preceduto da brevi cenni bibliografici,1884,Bö C IV 328,DNB,994315570
994315570,Catalogo della libreria di Carlo Branca in Milano preceduto da brevi cenni bibliografici,1884,Bö C IV 328 a,DNB,994315570
994316267,Supplément au Rapport de Bonjean sur la pétition adressée au sénat au sujet de l'affaire de M. Libri,1861,Bö F II 146,,
994319584,Über den historischen Gewinn aus der Entzifferung der assyrischen Inschriften,1856,Caa 245,DNB,994319584
994340397,Bodjanskij,1855,Bö B I 55/4°,DNB,994340397
994341156,Illustrissimo Signore. Nella risoluzione da me presa di dare al pubblico un saggio de' miei nuovi Caratteri Greci ... [mit eingenhänd. Unterschrift:] Gio. Batta. Bodoni,1784,Bö B III 180,DNB,994341156
994342160,Hohenkrug 1528 - 1910,1911,Ba 339,DNB,994342160
994342160,Hohenkrug 1528 - 1910,1911,Ba 339a,DNB,994342160
994346441,"Predigt am Sonntage Sexagesimä 1838 über Ps. 41, 4 nach seiner Genesung von e. schweren Krankheit gehalten",1838,Va 3657,DNB,994346441
994346638,"Rede bei der Vermählungs-Feier ... [Hochzeitsrede auf Gustav von Beurmann, Königl. Preuß. Ober-Einfahrer, u. Thekla Charlotte v. Burkersroda, 9. Mai 1843]",1843,Va 3657,DNB,994346638
99435195X,Annotatio seu|| BREVIARIVM RERVM MEMORA||bilium ac magis insignium a nato|| CHRISTO usque ad nostra|| tempora gestarum,1530,"III 26, 1",DNB,99435195X
994366027,"Specimens of printing types made at Bruce's New York Type Foundry, established in 1813",1882,"Cba 14, [1]",DNB,994366027
