idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,bibliothek,einrichtung,exemplar
1139205978,L-1756-417795483,Af,DBSM/M/Klemm,"IV 291, 20 - 1757","IV 291, 20 - 1757",1757,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts",T. 2 : Contenant les six premiers mois de l'année 1757,,,,,,,,,,,1,02
1139391216,L-1756-417795483,Af,DBSM/M/Klemm,"IV 291, 20 a - 1756","IV 291, 20 a - 1756",1756,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts","T. 1, 1756, Juillet-Decembre : ",,,,,,,,,,,1,01
1139205978,L-1756-417795483,Af,DBSM/M/Klemm,"IV 291, 20 - 1757","IV 291, 20 - 1757",1757,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts",T. 2 : Contenant les six premiers mois de l'année 1757,,,,,,,,,,,1,02
016071484,L-1781-487358481,Abvz,DBSM/F/Klemm,"Vf, 223","Vf, 223",1781,Le @politique hollandais : , : ,,,,,,,,,,009030115,1,02
016071484,L-1781-487358481,Abvz,DBSM/F/Klemm,"Vf, 223","Vf, 223",1781,Le @politique hollandais : , : ,,,,,,,,,,009030115,1,02
1132653878,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 1. : ,,,,,,,,,,,1,02
1132653886,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 2. : ,,,,,,,,,,,1,02
1132653908,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 4. : ,,,,,,,,,,,1,02
1132653894,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 3. : ,,,,,,,,,,,1,02
1132653878,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 1. : ,,,,,,,,,,,1,02
1132653886,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 2. : ,,,,,,,,,,,1,02
1132653894,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 3. : ,,,,,,,,,,,1,02
1132653908,L-1785-723864608,Af,DBSM/M/Klemm,"IV 8, 21","IV 8, 21",1785,Les @mille et une nuits,T. 4. : ,,,,,,,,,,,1,02
994578989,L-1823-162340540,Aal,DBSM/M/Klemm,"VIII, 147","VIII, 147",1823,Beicht- und Communion-Buch von Johann Friedrich Heinrich Cramer : , : ,,,,,,,,Marmorierter Kalbldrbd m. Vergoldg,,,1,02
994578989,L-1823-162340540,Aal,DBSM/M/Klemm,"VIII, 147","VIII, 147",1823,Beicht- und Communion-Buch von Johann Friedrich Heinrich Cramer : , : ,,,,,,,,Marmorierter Kalbldrbd m. Vergoldg,,,1,02
1025445864,L-2011-308917,Af,DBSM/M/Klemm,"IV 221, 7","IV 221, 7",1688,"Danielis Georgi Morhofi, polyhistor, sive De notitia auctorum et rerum commentarii",Lib.1 : ,,,,,,,,Bd.1-2 in einem Band gebunden,,,1,02
1011281457,L-2011-308917,Af,DBSM/M/Klemm,"IV 221, 7","IV 221, 7",1692,"Danielis Georgi Morhofi, polyhistor, sive De notitia auctorum et rerum commentarii",Lib.2 : Danielis Georgi[i] Morhofi[i] Tractatus Polyhistoricus De Excerpendi Ratione,,,,,,,,Bd.1-2 in einem Band gebunden,,,1,02
1025445864,L-2011-308917,Af,DBSM/M/Klemm,"IV 221, 7","IV 221, 7",1688,"Danielis Georgi Morhofi, polyhistor, sive De notitia auctorum et rerum commentarii",Lib.1 : ,,,,,,,,Bd.1-2 in einem Band gebunden,,,1,02
1011281457,L-2011-308917,Af,DBSM/M/Klemm,"IV 221, 7","IV 221, 7",1692,"Danielis Georgi Morhofi, polyhistor, sive De notitia auctorum et rerum commentarii",Lib.2 : Danielis Georgi[i] Morhofi[i] Tractatus Polyhistoricus De Excerpendi Ratione,,,,,,,,Bd.1-2 in einem Band gebunden,,,1,02
1025445074,L-2011-308930,Af,DBSM/F/Klemm,Cb 586,Cb 586,1816,Katechetische Anleitung zu den ersten Denkübungen der Jugend,Bdch.2 : ,,,,,,,,Bd. 1-2 in einem Bd. gebunden. - Sammlungsstempel HM; hs. Eignervermerke: Seminarbibl. zu Neuzella C. 82; B. August,,,1,02
1011391872,L-2011-308930,Af,DBSM/F/Klemm,Cb 586,Cb 586,1820,Katechetische Anleitung zu den ersten Denkübungen der Jugend,Bdch.1 : ,,,,,,,,Bd. 1-2 in einem Bd. gebunden. - Sammlungsstempel HM; hs. Eignervermerke: Seminarbibl. zu Neuzella C. 82; B. August,,,1,02
1025445074,L-2011-308930,Af,DBSM/F/Klemm,Cb 586,Cb 586,1816,Katechetische Anleitung zu den ersten Denkübungen der Jugend,Bdch.2 : ,,,,,,,,Bd. 1-2 in einem Bd. gebunden. - Sammlungsstempel HM; hs. Eignervermerke: Seminarbibl. zu Neuzella C. 82; B. August,,,1,02
1011391872,L-2011-308930,Af,DBSM/F/Klemm,Cb 586,Cb 586,1820,Katechetische Anleitung zu den ersten Denkübungen der Jugend,Bdch.1 : ,,,,,,,,Bd. 1-2 in einem Bd. gebunden. - Sammlungsstempel HM; hs. Eignervermerke: Seminarbibl. zu Neuzella C. 82; B. August,,,1,02
1096195607,L-2015-317285,Af,DBSM/M/Klemm,"IV 260, 4","IV 260, 4",1723,Zusatz derer übrigen Irrthümer welche die im Hertzogthum Schlesien befindliche Schwenckfelder in denen (so genannten) Glaubens-Bekandtnüssen arglistig, : Dritter Articul,,,,,,,,,,,1,01
1096199521,L-2015-317285,Af,DBSM/M/Klemm,"IV 260, 4","IV 260, 4",1723,Zusatz derer übrigen Irrthümer welche die im Hertzogthum Schlesien befindliche Schwenckfelder in denen (so genannten) Glaubens-Bekandtnüssen arglistig, : Vierdter Articul,,,,,,,,,,,1,01
1096195607,L-2015-317285,Af,DBSM/M/Klemm,"IV 260, 4","IV 260, 4",1723,Zusatz derer übrigen Irrthümer welche die im Hertzogthum Schlesien befindliche Schwenckfelder in denen (so genannten) Glaubens-Bekandtnüssen arglistig, : Dritter Articul,,,,,,,,,,,1,01
1096199521,L-2015-317285,Af,DBSM/M/Klemm,"IV 260, 4","IV 260, 4",1723,Zusatz derer übrigen Irrthümer welche die im Hertzogthum Schlesien befindliche Schwenckfelder in denen (so genannten) Glaubens-Bekandtnüssen arglistig, : Vierdter Articul,,,,,,,,,,,1,01
107018053X,L-2015-317285,Af,DBSM/M/Klemm,"IV 260, 4","IV 260, 4",1724,Zusatz derer übrigen Irrthümer welche die im Hertzogthum Schlesien befindliche Schwenckfelder in denen (so genannten) Glaubens-Bekandtnüssen arglistig, : Anderter Articul,,,,,,,,,,,1,01
107018053X,L-2015-317285,Af,DBSM/M/Klemm,"IV 260, 4","IV 260, 4",1724,Zusatz derer übrigen Irrthümer welche die im Hertzogthum Schlesien befindliche Schwenckfelder in denen (so genannten) Glaubens-Bekandtnüssen arglistig, : Anderter Articul,,,,,,,,,,,1,01
1070102547,L-2015-317291,Af,DBSM/M/Klemm,Va 916 /2,Va 916 /2,1817,Omēru epē.,"Vol. 2., Pars 2. : , ",", ",,,,,,,,,,1,02
107010244X,L-2015-317291,Af,DBSM/M/Klemm,Va 916 /2,Va 916 /2,1817,Omēru epē.,Vol. 1. : ,,,,,,,,,,,1,02
1070102547,L-2015-317291,Af,DBSM/M/Klemm,Va 916 /2,Va 916 /2,1817,Omēru epē.,"Vol. 2., Pars 2. : , ",", ",,,,,,,,,,1,02
107010244X,L-2015-317291,Af,DBSM/M/Klemm,Va 916 /2,Va 916 /2,1817,Omēru epē.,Vol. 1. : ,,,,,,,,,,,1,02
1093196289,L-2016-319382,Aa,DBSM/M/Klemm,"IV 162, 26 (angebunden)","IV 162, 26 (angebunden)",1663,Johann-Volk. Bechmann/ J.U.D. & Prof. Publ. Facultatis Juridicæ in Academiâ Salanâ h.t. Decanus L. S. D. Aeternæ ferè & immortales lites de possession, : ,,,,1093197420,Qd,,,,,,1,01
1090788517,L-2016-319382,Aa,DBSM/M/Klemm,"IV 162, 26","IV 162, 26",1663,Disputatio Inauguralis Iuridica De Contumacia Iudiciali : , : ,,,,1093197420,Qd,,,,,,1,01
1093197420,L-2016-319382,Qd,DBSM/M/Klemm,"IV 162, 26","IV 162, 26",1663,"[Disputation mit angebundenem Einblattdruck, Jena 1663] : ", : ,,,,,,,,,,,1,02
1090788517,L-2016-319382,Aa,DBSM/M/Klemm,"IV 162, 26","IV 162, 26",1663,Disputatio Inauguralis Iuridica De Contumacia Iudiciali : , : ,,,,1093197420,Qd,,,,,,1,01
1093197420,L-2016-319382,Qd,DBSM/M/Klemm,"IV 162, 26","IV 162, 26",1663,"[Disputation mit angebundenem Einblattdruck, Jena 1663] : ", : ,,,,,,,,,,,1,02
1093196289,L-2016-319382,Aa,DBSM/M/Klemm,"IV 162, 26 (angebunden)","IV 162, 26 (angebunden)",1663,Johann-Volk. Bechmann/ J.U.D. & Prof. Publ. Facultatis Juridicæ in Academiâ Salanâ h.t. Decanus L. S. D. Aeternæ ferè & immortales lites de possession, : ,,,,1093197420,Qd,,,,,,1,01
1175560766,L-2019-302008,Aa,DBSM/M/Klemm,"Va, 5926 (angebunden)","Va, 5926 (angebunden)",1826,"Neue Erfindung, wie man in Zeit von einer Stunde, ohne Lehrer, das Zeichnen lernen, auch alle Gemählde, Kupferstiche und Zeichnungen auf englische Art", : ,,,,1180516133,Qd,,,,,,1,02
1175408689,L-2019-302008,Aa,DBSM/M/Klemm,"Va, 5926","Va, 5926",1826,"Kurze, doch gründliche Anleitung zum Kupferstechen, Radiren und Lithographiren, für Anfänger und Dilettanten, um sich Visitkarten, Adressen und andere", : ,,,,1180516133,Qd,,,,,,1,02
1175560766,L-2019-302008,Aa,DBSM/M/Klemm,"Va, 5926 (angebunden)","Va, 5926 (angebunden)",1826,"Neue Erfindung, wie man in Zeit von einer Stunde, ohne Lehrer, das Zeichnen lernen, auch alle Gemählde, Kupferstiche und Zeichnungen auf englische Art", : ,,,,1180516133,Qd,,,,,,1,02
1180516133,L-2019-302008,Qd,DBSM/M/Klemm,"Va, 5926","Va, 5926",1826,Zwei historische Lehrbücher zum Thema Zeichnen und grafische Techniken : , : ,,,,,,,,,,,1,02
1175408689,L-2019-302008,Aa,DBSM/M/Klemm,"Va, 5926","Va, 5926",1826,"Kurze, doch gründliche Anleitung zum Kupferstechen, Radiren und Lithographiren, für Anfänger und Dilettanten, um sich Visitkarten, Adressen und andere", : ,,,,1180516133,Qd,,,,,,1,02
1180516133,L-2019-302008,Qd,DBSM/M/Klemm,"Va, 5926","Va, 5926",1826,Zwei historische Lehrbücher zum Thema Zeichnen und grafische Techniken : , : ,,,,,,,,,,,1,02
1064679994,L-9999-311717314,Hal,DBSM/M/Klemm,"I, 103","I, 103",1440,Epistola posteritati : , : ,,,,106467979X,Qd,,,Digitalisat beim Qd-Satz,,,1,02
1064678718,L-9999-311717314,Hal,DBSM/M/Klemm,"I, 103","I, 103",1390,Rerum senilium libri : , : ,,,,106467979X,Qd,,,"Digitalisat beim Qd-Satz; im November 1982 in der Werkstatt des DBSM restauriert, dabei schadhafte Seiten angefasert (z. B. Bl. 1, 19, 36, 37, 66-67, 78-79) und neu gebunden. Bl. 1-36 Feuchtigkeitsflecken am Schnitt, weiterhin einzelne Bll. fleckig. Bl. 25/26 Löcher im Papier. Rot der Initialen schlägt z. T. durch (z. B. 7r, 52r, 82r)",,,1,02
106467979X,L-9999-311717314,Qd,DBSM/M/Klemm,"I, 103","I, 103",1390,[Mittelalterliche Sammelhandschrift] : , : ,,1072654547,,,,,,"Bl. 1-36 Feuchtigkeitsflecken am Schnitt, weiterhin einzelne Bll. fleckig. Bl. 25/26 Löcher im Papier. Rot der Initialen schlägt z. T. durch (z. B. 7r, 52r, 82r)",,,1,02
1064679994,L-9999-311717314,Hal,DBSM/M/Klemm,"I, 103","I, 103",1440,Epistola posteritati : , : ,,,,106467979X,Qd,,,Digitalisat beim Qd-Satz,,,1,02
1064678718,L-9999-311717314,Hal,DBSM/M/Klemm,"I, 103","I, 103",1390,Rerum senilium libri : , : ,,,,106467979X,Qd,,,"Digitalisat beim Qd-Satz; im November 1982 in der Werkstatt des DBSM restauriert, dabei schadhafte Seiten angefasert (z. B. Bl. 1, 19, 36, 37, 66-67, 78-79) und neu gebunden. Bl. 1-36 Feuchtigkeitsflecken am Schnitt, weiterhin einzelne Bll. fleckig. Bl. 25/26 Löcher im Papier. Rot der Initialen schlägt z. T. durch (z. B. 7r, 52r, 82r)",,,1,02
106467979X,L-9999-311717314,Qd,DBSM/M/Klemm,"I, 103","I, 103",1390,[Mittelalterliche Sammelhandschrift] : , : ,,1072654547,,,,,,"Bl. 1-36 Feuchtigkeitsflecken am Schnitt, weiterhin einzelne Bll. fleckig. Bl. 25/26 Löcher im Papier. Rot der Initialen schlägt z. T. durch (z. B. 7r, 52r, 82r)",,,1,02
1064689116,L-9999-311723594,Hal,DBSM/M/Klemm,"I, 105","I, 105",1461,Composita verborum : , : ,,,,1064688462,Qd,a,,,,,1,02
1064689280,L-9999-311723594,Hal,DBSM/M/Klemm,"I, 105","I, 105",1459,[Juristische Merktexte] : Modus legendi abbreviaturas.  Ius canonicum traditur in quatuor. Alphabetum iuris canonici. Modus allegandi iura in canonibu, : ,,,,1064688462,Qd,a,,Digitalisat beim Qd-Satz,,,1,02
1064689116,L-9999-311723594,Hal,DBSM/M/Klemm,"I, 105","I, 105",1461,Composita verborum : , : ,,,,1064688462,Qd,a,,,,,1,02
1064688993,L-9999-311723594,Hal,DBSM/M/Klemm,"I, 105","I, 105",1459,Cornutus : , : ,,,,1064688462,Qd,a,,Digitalisat beim Qd-Satz,,,1,02
1064688462,L-9999-311723594,Qd,DBSM/M/Klemm,"I, 105","I, 105",1459,Vocabularius Ex quo : [grammatikalisch-juristische Sammelhandschrift], : ,,1072654490,,,,a,,"Buchschnitt fleckig. Bl. 12 lose. Flecken auf Bl. 13-17. Zwischen Bl. 99/100 rostige Heftnadel mit Faden; bei einer Restaurierung im 20. Jh. (vor 1954?) Rücken mit modernem braunem gesprenkeltem Leder erneuert. Bei der damit eingehenden Neubindung Vorsatz und Spiegel vorn und hinten aus modernem Papier (Mitte 20. Jh.) eingefügt, hinteres Vorsatz Wz. Buchstaben SP ohne Beizeichen, nicht belegt. Auf dem Rücken grünes Titelschild mit Tintenbeschriftung: „Wertvolle alte Handschrift aus dem 15. Jahrhundert“",,,1,02
1064688462,L-9999-311723594,Qd,DBSM/M/Klemm,"I, 105","I, 105",1459,Vocabularius Ex quo : [grammatikalisch-juristische Sammelhandschrift], : ,,1072654490,,,,a,,"Buchschnitt fleckig. Bl. 12 lose. Flecken auf Bl. 13-17. Zwischen Bl. 99/100 rostige Heftnadel mit Faden; bei einer Restaurierung im 20. Jh. (vor 1954?) Rücken mit modernem braunem gesprenkeltem Leder erneuert. Bei der damit eingehenden Neubindung Vorsatz und Spiegel vorn und hinten aus modernem Papier (Mitte 20. Jh.) eingefügt, hinteres Vorsatz Wz. Buchstaben SP ohne Beizeichen, nicht belegt. Auf dem Rücken grünes Titelschild mit Tintenbeschriftung: „Wertvolle alte Handschrift aus dem 15. Jahrhundert“",,,1,02
1064688993,L-9999-311723594,Hal,DBSM/M/Klemm,"I, 105","I, 105",1459,Cornutus : , : ,,,,1064688462,Qd,a,,Digitalisat beim Qd-Satz,,,1,02
1064689280,L-9999-311723594,Hal,DBSM/M/Klemm,"I, 105","I, 105",1459,[Juristische Merktexte] : Modus legendi abbreviaturas.  Ius canonicum traditur in quatuor. Alphabetum iuris canonici. Modus allegandi iura in canonibu, : ,,,,1064688462,Qd,a,,Digitalisat beim Qd-Satz,,,1,02
1138053295,L-9999-414284356,Qd,DBSM/M/Klemm,"IV 327, 2","IV 327, 2",0,Sammelband von Kupferstichwerken mit Ansichten von Rom : , : ,,,,,,,,,,,1,02
1137970898,L-9999-414284356,Qd,DBSM/DA,(DA 04.05.02.01.0930),"III 60, 21",,Sammelband : , : ,,,,,,a,,,,,1,02
1138053295,L-9999-414284356,Qd,DBSM/M/Klemm,"IV 327, 2","IV 327, 2",0,Sammelband von Kupferstichwerken mit Ansichten von Rom : , : ,,,,,,,,,,,1,02
1137970898,L-9999-414284356,Qd,DBSM/DA,(DA 04.05.02.01.0930),"III 60, 21",,Sammelband : , : ,,,,,,a,,,,,1,02
