idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,bibliothek,einrichtung,exemplar
018622348,L-1749-235159603,Abvz,DBSM/M/Klemm,"Va, 5772","Va, 5772",1749,"Mecklenburgische Nachrichten, Fragen und Anzeigen : ", : ,,,,,,,,,,009030115,1,02
018849431,L-1814-660497654,Abvz,DBSM/M/Klemm,"Va, 5963","Va, 5963",1814,Hommage aux dames : , : ,,,,,,,,Einzelerfassung (Af-Sätze),,009030115,1,02
018873677,L-1824-163190224,Abvz,DBSM/M/Klemm,Va 863,Va 863,1824,Neuer Haus- und Schreibkalender : auf das Schalt-Jahr, : ,,,,,,,,,,009030115,1,02
01888511X,L-1830-162018304,Abvz,DBSM/M/Klemm,Va 851,Va 851,1823,Merkwürdiger Geschichtskalender : auf das Jahr .., : ,,,,,,,,,,009030115,1,02
018941133,L-1826-164556214,Abvz,DBSM/M/Klemm,Va 1732,Va 1732,1826,Unterhaltender Kalender : auf das Jahr ...; mit Kgl. Sächsischem allergnädigsten Privilegium und unter der Universität Aufsicht, : ,,,,,,,,,,009030115,1,02
018996949,L-1829-164556923,Abvz,DBSM/M/Klemm,Va 283,Va 283,1823,"Verbesserter und alter Kalender auf das Gemeinjahr ... für die Königlich Preußischen Provinzen Brandenburg, Pommern und Sachsen : ", : ,,1164113364,,,,,,,,009030115,1,02
019137532,L-1826-413253309,Abvz,DBSM/M/Klemm,"Va, 5885","Va, 5885",1823,Belehrender Volksfreund aus der Länder- und Völkerkunde und Geschichte für den Bürger und Landmann : , : ,,,,,,,,,,009030115,1,02
019349513,L-1814-192988824,Abvz,DBSM/M/Klemm,"Va, 5651","Va, 5651",1814,Allgemein verbesserter Volks-Kalender : , : ,,,,,,,,,,009030115,1,02
019491581,L-1826-160199409,Abvz,DBSM/M/Klemm,Va 2916,Va 2916,1826,Volksspiegel zur Lehr' und Besserung : , : ,,,,,,,,,,009030115,1,02
019775210,L-1779-167298380,Abvz,DBSM/M/Klemm,Va 2003,Va 2003,1779,Kleine Kinderbibliothek : , : ,1021495794,,,,,,,,,009030115,1,02
019921195,L-1797-436199866,Abvz,DBSM/DA,(DA - 1815; 1853),"Va, 1399",1797,Taschenkalender : auf das Jahr ..., : ,,,,,,,,,,009030115,1,02
023271469,L-1826-169599485,Abvz,DBSM/M/Klemm,Va 1467,Va 1467,1826,Geschäftstagebuch für praktische Heilkünstler : auf das Jahr .., : ,,,,,,,,,,009030115,1,02
024628565,L-1830-17855880X,Abvz,DBSM/M/Klemm,(ÜF / 4. OG: R42/1/10),Va 3303,1830,Vorbilder für Fabrikanten und Handwerker : , : ,,,,,,,,,,009030115,1,02
024873195,L-1817-160997259,Abvz,DBSM/M/Klemm,Va 481/2,Va 481/2,1817,Almanach lustiger Schwänke für die Bühne : , : ,,,,,,,,,,009030115,1,02
025756230,L-1826-160996708,Advz,DBSM/M/Klemm,Va 2992,Va 2992,1826,Die @Geschichte unserer Zeit : , : ,,,,,,,,,,009030115,1,01
361759703,L-1815-177194669,Aal,DBSM/M/Klemm,Va 328/3,Va 328/3,1815,Schloss Wartburg : Ein Beytr. zur Kunde der Vorzeit, : ,,,,,,,,,,,1,02
362404828,L-1814-178230952,Aal,DBSM/M/Klemm,Va 957,Va 957,1814,Sachsens Verwüstung durch die Franzosen 1813 : ein Beitr. zur Geschichte der Zeit, : ,,,,,,,,,,,1,02
365013110,L-1818-169058468,Aal,DBSM/M/Klemm,Va 2633,Va 2633,1818,Hagbarth und Signe : Trauersp., : ,,,,,,,,,,,1,02
365684813,L-1813-154496294,Aal,DBSM/M/Klemm,Va 79,Va 79,1813,"Leipzigs Schreckensszenen im September und Oktober 1813 : Zur Erinnerg f. seine Bürger, zur Nachricht f. Auswärtige", : ,,,,,,,,,,,1,02
365847410,L-1817-405928297,Afl,DBSM/M/Klemm,"Va, 4639","Va, 4639",1817,"Das @christliche Märtyrerthum oder Geschichte v. d. Leben, d. Leiden u. d. Tode d. christl. Märtyrer in allen Theilen d. Erde",T. [1]. : ,,,,,,,,,,,1,02
366163744,L-1830-163289220,Afl,DBSM/M/Klemm,Va 405,Va 405,1830,Heliand oder die altsächsische Evangelien-Harmonie,Lfg 1. : Text,,,,,,,,,,,1,02
366175343,L-2015-317281,Afl,DBSM/M/Klemm,"Va, 5857","Va, 5857",1826,Historiarum libri IX,Vol. 2 : ,,,,,,,,,,,1,02
366741829,L-1804-167331779,Afl,DBSM/M/Klemm,Va 3306,Va 3306,1822,Geographie der Griechen und Römer,"T. 8. : Geographie des nördlichen Griechenlandes, des Peloponneses u. d. Inseln d. Archipelagus",,,,,,,,,,,1,02
366741837,L-1804-167331795,Afl,DBSM/M/Klemm,Va 3307,Va 3307,1812,Geographie der Griechen und Römer,"T. 7. : Thracien, Illyrien, Macedonien, Thessalien, Epirus",,,,,,,,,,,1,02
367565072,L-1819-169793737,Afl,DBSM/M/Klemm,Va 2316,Va 2316,1819,Sämmtliche Schriften,Bd. 1. : Lienhard und Gertrud. - Theil 1,,,,,,,,Hs.: Lese-Verein zu Blankenhayn,,,1,02
572010907,L-1811-157857816,Aal,DBSM/M/Klemm,Va 1679/3,Va 1679/3,1811,Anweisung zum Rechnen für sächsische Dorfschulen : , : ,,,,,,,,,,,1,02
57287264X,L-1829-157857905,Aal,DBSM/M/Klemm,Va 1800,Va 1800,1829,"[Christian Friedrich] Dinter's Leben, von ihm selbst beschreiben; ein Lesebuch für Aeltern u. Erzieher ... : Mit e. Facs.", : ,,,,,,,,,,,1,02
573258651,L-1818-163016968,Aal,DBSM/M/Klemm,Vd 426,Vd 426,1818,"Der @gegenseitige Unterricht : Geschichte seiner Einführung u. Ausbreitung durch Dr. A. Bell, J. Lancaster u. a. ; Ausführl. Beschreibung seiner Anwen", : ,,,,,,,,,,,1,02
579397920,L-1817-160506360,Aal,DBSM/M/Klemm,Va 2135,Va 2135,1817,Die @zwei Brüder : Trauerspiel in 4 Aufz. mit e. Vorsp., : ,,,,,,,,"Dieser Ausg. ist angebunden: Fouqué, Friedrich de La Motte-: Karls des Großen Geburt und Jugendjahre",,,1,02
932295533,L-1815-163068887,Aff,DBSM/M/Klemm,Va 2860,Va 2860,1815,Die @Harfe,1 (1815) : ,,,,,,,,Exlibris Leipziger Stadtbibliothek,,,1,02
932295541,L-1815-163068909,Aff,DBSM/M/Klemm,"Va, 2860","Va, 2860",1815,Die @Harfe,2 (1815) : ,,,,,,,,Exlibris W. J. Heslop,,,1,02
932301533,L-9999-157836975,Afl,DBSM/M/Klemm,"Va, 3693","Va, 3693",1829,Der @Wandrer zu den Pyramiden oder der geheimnissvolle Retter vom Hochgerichte,2 (1829) : ,,,,,,,,,,,1,02
932321968,L-2010-303777,Af,DBSM/DA,(DA 06.0656),"Va, 5620",1827,Reisebilder,Theil 2 : ,,,,,,a,,,,,1,02
932322077,L-3000-026758,Aa,DBSM/M/Klemm,"Va, 8329","Va, 8329",1822,Meister Floh : Ein Mährchen in 7 Abentheuern zweier Freunde, : ,,,,,,,,"Orig.-Pappbd (etwas berieben) mit Aquatintaradierungen nach Zeichnungen Hoffmanns auf beiden Deckeln; Erste Ausgabe dieser „phantastischen Geburt eines humoristischen Schriftstellers"", wie Hoffmann sein Werk selbst nannte. Das letzte Werk Hoffmanns, drei Monate vor seinem Tod vollendet, „... zeigt eine neue Entwicklung. Am Ende ... wächst, trotz des satir. Tons, durch die poetisch-enthusiastische Liebe von Peregrinus u. Röschen der Kleinbürgeridylle eine eigene Würde zu"" (Killy). Von der Zensur wurde die ‚Knarrpanti-Episode' gestrichen, weil der preußische Polizeidirektor von Kamptz (= Knarrpanti) darin eine persönliche Satire auf sein Vorgehen gegen Demokraten sah. - Frühere Einbandvariante. Die Illustration ist in Aquatinta ausgeführt und noch nicht lithographiert. Titel mit kleiner Randausbesserung. Nur vereinzelt gebräunt bzw. stockfleckig. Frisches und unbeschnittenes Exemplar. - Salomon 173.",,,1,02
932322336,L-1824-163689989,Aff,DBSM/M/Klemm,Va 2177,Va 2177,1824,Buch für Kinder gebildeter Stände,3 : Schauspiele und Erzählungen,,,,,,,,,,,1,02
980548055,L-2006-313488,Aa,DBSM/M/Klemm,"Va, 5260","Va, 5260",1763,Lehrgedichte und Erzählungen : , : ,,,,,,,,,,,1,01
982812140,L-2007-305453,Aa,DBSM/M/Klemm,"Va, 5267","Va, 5267",1819,"Unterricht zur gründlichen Erlernung des deutschen Kegelspiel und des Brett- oder Damespiel, des Mühlen-Quinze- und Tontinenspiel : ", : ,,,,,,,,,,,1,02
985546174,L-2007-319892,Af,DBSM/M/Klemm,"Vd, 732","Vd, 732",1823,Oeuvres complètes,T. 1. : Mathilde,,,,,,,,,,,1,02
986303224,L-2007-325198,Aa,DBSM/M/Klemm,"Vd, 733 (ÜF 4.OG/R73A/11/4)","Vd, 733",1813,"Vues des Cordilleres, et monumens des peuples indigenes de l'Amerique : ", : ,,,,,,,,,,,1,02
98652025X,L-2007-325486,Aa,DBSM/M/Klemm,"Va, 5302","Va, 5302",1826,Zur zweiten Secularfeier des hiesigen Königl. Katholischen Gymnasiums und zu dem funfzigjährigen Amtsjubiläum des Professor und Prälaten Gärtner den 9, : ,,,,,,,,,,,1,02
989377474,L-2008-314778,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 10. : Schw - Sz,,,,,,a,,,,,1,02
989537919,L-2008-314780,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 12. : W - Z,,,,,,a,,,,,1,02
98953796X,L-2008-314777,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 9. : R - Schu,,,,,,a,,,,,1,02
989538028,L-2008-314779,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 11. : T - V,,,,,,a,,,,,1,02
989538087,L-2008-314776,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 8. : O - Q,,,,,,a,,,,,1,02
989538117,L-2008-314775,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 7. : M - N,,,,,,a,,,,,1,02
98953815X,L-2008-314770,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 2. : Bo - C,,,,,,a,,,,,1,02
989538214,L-2008-314769,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 1. : A - Bl,,,,,,a,,,,,1,02
989538273,L-2008-314772,Af,DBSM/DA,(DA 08.02.B.0600),"Va, 4202 /7",1827,Allgemeine deutsche Real-Encyklopaedie für die gebildeten Staende,Bd. 4. : F - G,,,,,,a,,,,,1,02
