,Gruppe,digi,Lfd Nr.,AKZ,bbg_x,IDN,Link zum Portal,signatur_g_x,Signatur,"steht bei
/ Anm.
zur
Signatur",Provenienzmerkmal,Material,Format,Öffnungswinkel,Einschränkungen,Glasplatte ,Verpackung,Verpackung austauschen ,Schadensklasse,"notwendige Reparatur(en) vor der Digitalisierung, notwendige Reparatur(en) vor der Digitalisierung",Bemerkungen,"Fragen/ Hinweise
an DBSM",Fragen an M. Steinberg,"nicht
am Stand-ort","Größe ÜF
(BxH)","Breite
(nur Ausreißer)","Dicke
(>12 cm)","12° Format
(<15 cm)","Einband-
art","Einband-
art Kommentar","Einband über-
formt (ganz od. teilweise)",Buch bereits restau-riert,"hohler/
fester Rücken (mit Einlage/
Vergoldung?)","Steh-
kanten
(bei Perg.)",Leder pudert ab/roter Zerfall (extrem),Einband stark defor-miert,Be-schläge bes. auftra-gend,Buch-schließe steif,Buch-block Pa./Perg.,saures Füll-material,Register-marken,seitliche Heftung,Buch-block sehr wellig,"Buch-block neigt zum ""Bauch""",ge-schloss-ene Lagen,Falttafeln,"Größe Buch+
Falttafeln (BxH)",Original-grafik,Kolorier-ung / Buch-malerei / Initialen / Rubri-kation,berühr-ungsfreie Digit.,Schrift weit bis in den Falz (Bund-steg in mm) Text-verlust,nicht digitali-sierbar wegen Bund-steg (vorraus-sichtlich),max. Öffnungs-winkel,max. Öffnungs-winkel Kommentar,Digit. mit Begleit-ung,Digit. mit Begleit-ung Kommentar,Rest.-Bericht einge-klebt,Blatt mit Notizen zum Buch eingeklebt ,"Rest.
not-wendig (ja/nein) (vor/nach der Digit.)","Rest.-
Aufwand gesamt
(in Std.)","Rest.
erfolgt",Kassette,Schuber,Buch-schuh,Mappe ,Um-schlag,SB neu,Anmerkungen (allg.),"für Testphase
vorsehen","für Testphase
vorsehen Kommentar",Schutz-behältnis empfohlen,Foto für Erheb. Rest. angefertigt (ab August),feuchte-empfind-liches Leder,"Material am Rücken/
Einband lose / eingeris-sen (auch Titelschild)",Narben spaltet sich ab,"Gelenk(e) 
an/durch-gebro-chen",Bünde gebro-chen (Anzahl),"Rücken lose/
halb lose",Be-schläge locker,"Buch
schließe fragil",Deckel spaltet sich / Fehlstelle im Deckel,Deckel gebro-chen,Deckel lose / halb lose,"Kapital fragil/
lose","Rest.-Aufwand Einband
(in Std.)",Anmerkungen für die Restaurierung am Einband,"Ver-schmutz-ung (Vorsatz / Ränder /
ges. BB)",mikro-bieller Befall,Farb-schicht pudert,Buch-block / Seiten verblockt,erste / letzte Lage oder Seiten lose,(halb-) lose Seiten im BB,Heftung zerstört,Risse / Fehl-stellen im Vorsatz,Risse im Text-bereich / an exponier-ter Stelle (z.B. Ecke),Risse am Rand,"Fehl-stellen im BB
(groß) ",Insekten-fraß (stark),Falten / Knicke,"saures /
brüchiges Papier",Tinten-/ Farbfraß (akut),Register-marken fragil,"Klebe-
streifen ablösen","Rest.-Aufwand Buchblock
(in Std.)",Anmerkungen für die Restaurierung am Buchblock,idn,akz,bbg_y,standort,signatur_g_y,signatur_a,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,bibliothek,einrichtung,exemplar,wert
18,Bö M,True,23.0,L-1644-181213265,Aal,1003944124,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003944124,Bö M 18,Bö M 18,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,Papierumschlag ,Ja,0.0,,,,,,,,,,HPg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,180,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bö M,True,24.0,L-1645-181219395,Aal,1003950051,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003950051,Bö M 19,Bö M 19,,X,Halbpergamentband,bis 42 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,Papierumschlag ,Ja,0.0,,,,,,,,,,HPg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,110,,,,,,n,0.0,,,,,,x sauer ,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bö M,True,26.0,L-1646-181218844,Aal,1003949487,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003949487,Bö M 20,Bö M 20,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,Papierumschlag ,Ja,0.0,,,,,,,,,,HPg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,110,,,,,,ja vor,1.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,Bö M,True,28.0,L-1648-181216884,Aal,1003947638,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003947638,Bö M 21,Bö M 21,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, Einband mit Schutz- oder Stoßkanten, gefaltete Blätter",,Papierumschlag ,Ja,0.0,,,,,,,,,,Pg,,,,h,x,,,,,Pa,,,,,,,x,,x,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bö M,True,,L-1646-426020154,Qd,1144987067,,Bö M 22,Bö M 22,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,Papierumschlag ,Ja,0.0,,,,,,,,,,Pa,,,,h/E,,,,,,Pa,,,,,,,x,,x,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bö M,True,32.0,L-1647-181271400,Aal,1003961096,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003961096,Bö M 23,Bö M 23,,X,Halbledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,Papierumschlag ,Ja,0.0,,,,,,,,,,HPg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bö M,True,33.0,L-1653-181219549,Aal,1003950183,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003950183,Bö M 24,Bö M 24,,X,Ledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, gefaltete Blätter",,,Signaturfahne austauschen,1.0,,,,,,,,,,L,,,,f/V,,x,,,,Pa,,,,,,,x,"B: 22x35
F: 50x35",,,,,,45,"
Tafel bei 110, aber nur Tafel!",,,,,ja vor,6.0,,,,,x,,,,,,Umschlag (Leder pudert),,x,x,,v/h,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bö M,True,34.0,L-1654-181216027,Aal,1003946844,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003946844,Bö M 25,Bö M 25,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,,,0.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bö M,True,35.0,L-1650-181219719,Aal,1003950396,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003950396,Bö M 26,Bö M 26,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,,,0.0,,,,,,,,,,HPg,,,,h,,,,,,Pa,,,,,,,x,"B: 22x34
F: 50x34",x,,,,,110,,,,,,ja vor,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,4.0,"Tafeln teilweise nachleimen, da Papier sehr wattig",,,,,,,,,,,,,,,,,,,,,
27,Bö M,True,36.0,L-1680-185133150,Aal,1005791945,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1005791945,Bö M 27,Bö M 27,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,,,1.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,x,,x,,,,,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bö M,True,37.0,L-1642-181217708,Aal,1003948413,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003948413,Bö M 28,Bö M 28,,x,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,,Signaturfahne austauschen,0.0,,gereinigt,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,x,"B: 22x32
F: 55x32",x,,,,,110,,,,,,ja vor,0.5,,,,,,,,,,,,,,,,,,,,,,,,o/u,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bö M,True,38.0,L-1654-181216574,Aal,1003947328,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003947328,Bö M 29,Bö M 29,,X,Halbpergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,,,0.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,x,"B: 20x30
F: 64x30",x,,x,,,max 110,,,,,,ja vor,6.0,,,,,,,,,x max 110,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,x,,,,,6.0,"Falten in letzten Seiten glätten, Ränder trockenreinigen, Tafeln auf Risse und Lösung der Verklebung überprüfen (z.B. Tafel nach S. 144), Rest.-Aufwand daher nur ganz grob geschätzt --> muss genauer angeschaut werden",,,,,,,,,,,,,,,,,,,,,
30,Bö M,True,39.0,L-1655-181210088,Afl,1003940870,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003940870,Bö M 30 - 1,Bö M 30 - 1,,X,Halbledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","gefaltete Blätter, fester Rücken mit Schmuckprägung",,,,0.0,,,,,,,,,,HL,,,,h/E,,,,,,Pa,,,,,x,,x durchgehend,,x,,x,0.0,x,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bö M,True,40.0,L-1657-426023579,Afl,1144993644,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1144993644,Bö M 30 - 2,Bö M 30 - 2,,X,Halbledereinband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, gefaltete Blätter",,,,0.0,,,,,,,,,,HL,,,,h/E,,,,,,Pa,,,,,x,,x durchgehend,"B: 21x31
F: 35x21",,,,0.0,x,110,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bö M,True,41.0,L-1688-18121797X,Aal,1003948715,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003948715,Bö M 31,Bö M 31,,X,Pergamentband,bis 35 cm,"80° bis 110°, einseitig digitalisierbar?","hohler Rücken, gefaltete Blätter",,,Signaturfahne austauschen,2.0,,gereinigt,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,x durchgehend,"B: 22x35
F: 74x35",x,,x,0.0,x,110,,,,,,n,0.0,,,,,,,,,,,Box (sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bö M,True,42.0,L-1635-180648268,Aal,1003800165,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003800165,Bö M 32,Bö M 32,,X,Halbledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,Kassette,Nein,0.0,,,,,,,,,x,Pg,,,x,h,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bö M,True,43.0,L-1683-181188279,Afl,1003920497,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003920497,Bö M 33,Bö M 33,,X,Ledereinband,bis 25 cm,nur sehr geringer Öffnungswinkel,"fester Rücken mit Schmuckprägung, Schrift bis in den Falz",,Mappe,Ja,1.0,,,,,,,,,x,L,,,,f,,,,,,Pa,,,,,,,,,,,,0.0,x,max 45,,,,,,,0.0,,,,,x sauer,x sauer,x,"ist vollrest., Rücken steif! --> Digit. ohne Textverlust nicht möglich; 12°",,,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bö M,True,44.0,L-1684-181117045,Aal,1003867928,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003867928,Bö M 34,Bö M 34,,X,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","fester Rücken mit Schmuckprägung, Schrift bis in den Falz",,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,2.0,,110,,,,,,,0.0,,,,,,x sauer,x,"hat Vergoldung, aber alles ist sehr beweglich und weich --> Digit. möglich",,,Box (Buch sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
