idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1003838677,Aal,"Biblia, Das ist, Die gantze heilige Schrifft Alten und Neuen Testaments Verteutscht durch D. Martin Luther. Jetzo abermal Nach dem letzten im Jahr 1545. noch bey Desselben Lebzeiten ausgegangenem, so wol unterschiedlich- andern best-gehaltenen Exemplarien fleissigst durchgesehen: In richtiger Ordnung der Bücher mit des sel. Mannes Vorreden, oder, wo deren keine vorhanden, mit jedwedes Summarischem Inhalt, gewöhnlicher Ein- und Abtheilung der Capiteln und Versiculn; Samt zweyfachen ... Summarien ... Zumalen mit Matthäi Merians sel. schönen lebhafften Original-Kupffer-Stücken gezieret; und durch Zugabe des III. und IV. Buches Esrä und III. der Maccabäer vermehret",,,,,,,,,
1003838979,Aal,The @Bible,"that is, the Holy Scriptures contained in the Old and New Testament",,,,,,,1262278775,Qd
1003839096,Aal,"Biblia, dat is de gantsche H. Schrifture vervattende alle de canonycke boecken des Oude en des Niewen Testaments",door last van de Ed. Hoogh Mog. Heeren Staten General van de Verenigde Nederl. en volgends Besluit van de Synode Nationael gehouden tot Dordrecht in de Iaren  1618. ende 1619 ; uyt de oorspronckelijke Talen in onse Nederlandtsche Tale getrouwelijck over geset ; door gemeene ordre der Kercken verbetert,,,,,,,1140145185,Qd
1003839444,Aal,Dyt @synt die alre andechtlichtstē und verdienstlichsten ermanongē und gebete|| der hilggher frauwen Sent Brigitten|| van dem hilgen und seyr bitteren lyden unssers alrenlieffsten herē jhesu cristi,,,,,,,,,
1003839622,Aal,"Leichpredigt|| Über den Custodierten D. Nicolaum Krell, Welcher den 9. Octobris ... zu Dreßden entheuptet worden",,,,,,,,,
1003839908,Aal,Blumenkranz aus Deutschlands classischen Schriftstellern,eine geschmackvolle Sammlung von Aufsätzen in Stammbücher,,,,,,,,
1003840019,Aal,"I @casi de gli huomini illustri opera di m. Giouan Boccaccio partita in noue libri ne quali si trattano molti accidenti di diuersi prencipi, incominciando dalla creatione dil mondo fino al tempo suo, con le historie, et casi occorsi nelle uite di quelli; et i discorsi, ragioni, et consigli descritti dall'auttore secondo l'occorrenza delle materie, tradotti, et ampliati per m. Giuseppe Betussi da Bassano con la tauola di tutte le sentenze, nomi, et cose notabili che nell'opra si contengono",,,,,,,,,
1003840140,Aal,Beicht- und Communionbuch ...,Nebst einem Anhang einiger Kirchen ... und anderen Gebeten und Liedern ...,,,,,,,,
1003840299,Afl,Boileau Despréaux,Nicolas,"Les @Oeuvres de M. [Nicolas] Boileaux-Despréaux, avec des éclaircissemens historiques",Tome 2.,,,,,,
1003840507,Aal,"De sacrificio Missae, tractatus asceticus ...",,,,,,,,,
1003853781,Aal,Sancti Bonaventurae doctoris seraphici Breviloquium theologiae,,,,,,,,1149377879,Qd
1003853781,Aal,Sancti Bonaueture doctoris seraphici Breuiloquiu theologie quo omnis laus,,,,,,,,1149377879,Qd
1003854486,Afl,Boulainvilliers,Henri,Histoire de lʹancien gouvernement de la France avec 14 lettres historiques sur les parlemens ou états-généraux,Tome 1,,,,,,
1003854540,Afl,Boulainvilliers,Henri,Histoire de lʹancien gouvernement de la France avec 14 lettres historiques sur les parlemens ou états-généraux,Tome 2,,,,,,
1003854648,Afl,Formey,Jean Henri Samuel,Catalogue raisonné de la librairie d'Etienne de Bourdeaux,Tome 3,,,,,,
1003854729,Aal,Eivsdem Caroli Bouilli Samarobrini Respōsiones ad nouē quesita Nicolai Paxii Maioricen̄. seu Balearici in arte Lullistarum peritissimi,,,,,,,,,
1003854826,Aal,Die @Allerschöneste Companey auff Erden,"über das H. Evang. am 3. Sonntage nach der H. Dreyfaltigkeit, Lucae C. 15",,,,,,,,
100385494X,Aal,Wie man sich|| Christlich zu dem sterben|| bereyten sol.|| Wie man Got rechtschaf=||fen dienen sol.|| Wie das vbel nachreden|| f#[ue]r ein schwere s#[ue]nd zu ach=||ten sey/ Auff drey Ser=||mon gestelt.|| Johann Brentius zu|| Schwebischen Hall.||,,,,,,,,,
1003855105,Aal,Ein @proceß|| der gerichts Ordenung|| aus Bepstlichen vnd Key=||serlichen rechten/ auffs k#[ue]r=||tzte zu hauffen yñ dis b#[ue]ch=||leyn verf#[ue]get/ den yhenigen|| die sich yn ynn sachen zu f#[ue]ren|| vben ...|| sehr n#[ue]tzlich vnd for=||treglich/ ytzuder auffs newe|| ... vberse=||hen vñ Corrigirt/ auch mitt|| vyl annotationibus gemert|| vnd gebessert.,,,,,,,,1138379905,Qd
1003855229,Aal,"Gvillielmi Bvdaei Parisiensis Se||cretarij Regij libri V. de Asse, & partib. eius",,,,,,,,,
1003855423,Aal,Bulla monitorij apostolici: cōtra Tres Reuerendissimos Cardinales vt redeat ad obedientiā S. d.n. Pa. Ne scisma in ecclesia sancta dei orietur,,,,,,,,,
1003855970,Aal,"Christliche Leich- und Ehrn Predigt ... Justina Adler, Ehefrau des Weißgerbers Hieronymus Adler zu Adorf [gestorben] 2. Apr. 1625",,,,,,,,1262275857,Qd
1003856071,Aal,"Bibliotheca Succincta Et Portatilis, Sive Directorium Concionatorum In Duos Tomos Distributum, Quorum Primus Continet Synopsim, Sive Summam Generalem Legis Scriptae Veteris Et Novi Testamenti, Et Dictionarium Sacro-Morale Alphabeticum, Exemplis Biblicis, SS. PP. Authoritatibus, Ac Moralitatibus Refertum. Secundus Continet Themata Biblica Selecta Pro Dominicis, Festis, Ac Aliis Quibuscumque Motivs Ad Praedicandum",,,,,,,,,
1003856292,Aal,"Ioannis Calvini Commentarii in omnes Pauli Apostoli Epistolas, atque etiam in Epistolam ad Hebraeos",,,,,,,,1148790519,Qd
100385639X,Aal,Institvtio christianae religionis,,,,,,,,,
1003856543,Aal,In Turcos potius qz. gentez christicola. bella moue[n]da carmine coriambico gliconico Timanni Cameneri Guernensis,,,,,,1161809201,,,
100385656X,Aal,"HISTORIA|| VITAE FORTVNAEQVE AESO=||PI, CVM FABVLIS ILLIVS|| pluribus quingentis, et alijs quibusdam narra=||tionibus, compositis studio et diligentia",,,,,,,,,
1003866190,Afl,Caminade,Marc Alexandre,"Premiers Élémens de la langue française, ou grammaire usuelle et complette, ...",T. 1.,,,,,,
1003866212,Aal,TRACTATVS|| DE EXECV-||TORIBVS VLTI-||MARVM VOLVNTA-||tum duorum celeberrimo-||rum iurisconsulto-||rum.|| IOAN. IACOBI à|| Canibus Patauini.|| IOAN. OLDEN-||dorpij.|| Cùm summarijs & indice me-||thodico.||,,,,,,,,1138319503,Qd
1003866263,Aal,Le @Livre de quatre couleurs,aux quatre-elements,,,,,,,,
100386628X,Aal,"Caroli Carafa Episcopi Aversani commentaria de Germania sacra restaurata, sub summis PP. Gregorio XV, & ... Urbano VIII",,,,,,,,1262276209,Qd
1003866298,Aal,Il @Libro del cortegiano del conte Baldesar Castiglione,,,,,,,,,
1003866476,Aal,"Catechismvs Romanvs, ex decreto Concilii Tridentini, & Pii V. Pontificis Maximi iussu primum editus","nunc verò luculentis quaestionibus, ... distinctus, breuibus [que] annotatiunculis elucidatus",,,,,,,,
1003866484,Aal,Catullvs. Tibvllvs. Propertivs,His accesservnt Corn. Galli fragmenta,,,,,,,114363148X,Qd
1003866514,Aal,Lo @specchio vstorio del P. F. Bonauentura Caualieri Giesuato overo trattato delle settioni coniche,"e di alcuni loro mirabili effetti Intorno al lume, caldo, freddo, suono, e moto fatto ristampare, e dedicato all' ill.mo Sign. Co. Francesco Maria Riari da Fr. Vrbano Dauisi Romano Priore nel Conuento di S. Girolamo",,,,,,,,
1003866549,Aal,Bunte Scenerien aus dem Menschenleben,ein Bilderbuch ganz neuer Art,,,,,,,,
1003866573,Aal,Dauidis Chytraej|| CHRONICON|| SAXONIAE|| & vicini orbis Arctoj.|| PARS PRIMA.|| Ab anno Christi 1500.|| vs#[que] ad 1524.|| CVM INDICE.||,,,,,,,,,
1003866638,Aal,"M[arci] T[ulii] Ciceroni Epistolae ad Atticum, Brutum et Quintum Fratem","ex diversorum exemplarium, praecipuè Victorii ac Manutii, collatione dilligentissima castigatae",,,,,,,,
1003866670,Aal,"M[arci] Tullii Ciceronis epistolae, ad Atticum, ad Brutum, ad Q. fratrem",,,,,,,,,
1003866743,Afl,Cicero,Marcus Tullius,M[arci] T[ullii] Ciceronis et clarorum virorum Epistolae,Vol. 1,,,,,,
1003866751,Aal,M. Tullii Ciceronis scriptorvm Fragmenta,,,,,,,,,
1003866786,Aal,"Ciceronis De officiis libri III. Cato maior, uel De senectute, Laelius, uel De amicitia, Paradoxa ...",,,,,,,,,
1003866824,Aal,Marci Tullij Cice=||ronis pro.L.Flacco|| Oratio.|| ...||,,,,,,,,1138380075,Qd
1003866840,Aal,Marci Tullij Cicero=||nis pro Rege Deiotaro Oratio.|| ...||,,,,,,,,1138380075,Qd
1003866883,Aal,Marci Tullij Cice=||ronis pro. Q. Liga=||rio Oratio||...||,,,,,,,,1138380075,Qd
1003866964,Aal,Marci Tullij Cicero=||nis in Lu.Pisonem|| Oratio.|| ...||,,,,,,,,1138380075,Qd
1003866999,Aal,M[arci] Tullii Ciceronis orationes selectae,cum notis,,,,,,,,
1003867057,Aal,"M. Tul. Ciceronis Pul=||cherrimi. elegãtissimi#[que], De oratore|| libri tres. non minore studio #[que] ar||te. in edibus Lotterianis excusi:|| ... [s] ... ||",,,,,,,,1138380075,Qd
100386709X,Aal,M.T.Ciceronis parentis et tube eloquen=||tie/ quattuor Rhetoricorum libri non inele=||gantes/ ad C.Herennium exarati.||,,,,,,,,1138380075,Qd
100386712X,Aal,Marci Tullii Ciceronis quaestionum Tusculanarum libri 5,,,,,,,,,
1003867146,Aal,Hercvlis Ciofani Svlmonensis in P. Ovidii Nasonis Metamorphosin ex XVII antiquis libris,"Observationes, quibus loci quampluri & emendantur, & aliorum quoq. tum Graecorum, tum Latinorum Poetarum aut simili, aut etiam uaria doctrina illustrantur",,,,,,,,
1003867162,Aal,"EVANGELIA|| ANNIVERSARIA|| DOMINICORVM|| ET FESTORVM|| DIERVM,|| Germanicè, Latinè, Graecè,|| & Ebraicè.||",,,,,,,,1138311561,Qd
1003867197,Aal,"Cl. Claudiani Opera qvam diligentissime castigata, qvorum indicem in seqventi pagina reperies",,,,,,,,,
1003867219,Aal,Vetter Michel,ein Capriccio,,,,,,,,
1003867243,Aal,"Relation du voiage de Brême, en vers burlesques; dediée à monsieur Besson",,,,,,,,,
1003867332,Aal,Polygraphie et universelle escriture cabalistique,,,,,,,,,
1003867375,Aal,"Tractatus De Vero Sale Secreto Philosophorum, & de universali Mundi SpirituGallice primo scriptus in supplementum diu desiderati tertii principii Cosmopolitae, sive, ut vulgo creditur, Michaelis Sendivogii Poloni, quod de Sale promisit ... a Domino de Nuysement ... ; Liber non minus curiosus quam proficuus, utpote tractans de cognitione verae Medicinae Chemicae",,,,,,,,,
1003867383,Aal,Comes rusticus ex optimis latinae linguae scriptoribus excerptus,,,,,,,,,
1003867448,Aal,Scholastica historia magistri|| Petri comestoris: sacre scri||pture seriem breuem ni=||mis:et expositam ex||ponentis||,,,,,,,,,
1003867502,Aal,Philologicarum epistolarum centuria una diversorum a renatis literis doctissimorum virorum ... insuper Richardi de Buri ... Philobiblion et Bessarionis Patriarchae Constantinopolitani ... epistola ad Senatum Venetum,,,,,,,,,
1003867839,Aal,"La @Constitution française, décrétée par lʹAssemblée Nationale Constituante, aux années 1789, 1790 et 1791",acceptée par le Roi le 14 septembre 1791,,,,,,,,
1003867928,Aal,Costuymen van s'Hertogen-Bossche,,,,,,,,,
1003867944,Aal,Costumen der Stede van Brugghe,,,,,,,,,
1003867979,Aal,"Dits die excellente Cronike van Vlaenderen, beghinnende van Liederick Buc den eersten forestier ... tot desen onsen doorluchtichsten ... Keyser Karolo",,,,,,,,,
1003868010,Aal,CVIACII|| I.C. AD LIBROS QVA-||TVOR INSTITVTIONVM|| DN. IVSTINIANI|| NOTAE|| Priores & Posteriores.|| NUNC PRIMVM IN VNVM COR-||pus redactae in studiosorum maximam vtili-||tatem ...|| Eiusdem ad Vlpiani Titulos XXIX. Notae.|| Praefixa etiam est vita auctoris.||,,,,,,,,1138366714,Qd
1003868045,Aal,Q[uinti] Curtii Rufi de Rebus gestis Alexandri Magni historia,,,,,,,,,
1003868053,Aal,Tabvlarium Ecclesiae Romanae Secvli Decimi Sexti,"In Qvo Monvmenta, Restitvti Calicis Evcharistici, Totivsqve Concilii Tridentini Historiam Mirifice Illvstrantia, Continentvr",,,,,,,,
1003868096,Aal,"DEMO-||STHENIS ORATIONES OLYN=||thiacae tres, cum quatuor Philip=||picis",in usum puerorum|| recte graece discere cu=||pientium sepa-||ratim aedi-||tae,,,,,,,1262280982,Qd
1003868134,Aal,Philippiques de Demosthene avec des remarques,,,,,,,,,
1003868142,Aal,"EVROPAE|| TOTIVS ORBIS TER=||RARVM PARTIS PRAE=||STANTISSIMAE, VNI=||VERSALIS ET PARTI=||CVLARIS DESCRIPTIO|| Aere potes paruo Regiones visere multas|| Quas Liber hic tenuis, spectator candide,|| monstrat.||",,,,,,,,,
1003868207,Afl,,,"Diario di tutto quello successe nellʹultima guerra di Sicilia fra le due armate Allemana, e Spagnola",T. 1,,,,,,
1003868215,Afl,,,"Diario di tutto quello successe nellʹultima guerra di Sicilia fra le due armate Allemana, e Spagnola",T. 2,,,,,,
100386824X,Aal,Didymi Hermannovillani Disquisitiones ubiquisticae sive de Christo contra ubiquistas aliosque; ...,,,,,,,,,
1003868339,Aal,"Dionysii Halicarnassei Antiqvitatum, siue originum Romanarum, libri X",,,,,,,,,
100386838X,Aal,Dionysii Halicarnassei de Thucydidis Historia Judicium,,,,,,,,,
100386841X,Aal,Asperges me domine hysopo & mundabor,[discantus],,,,,,,,
1003868509,Aal,"Dispunctio notarum quadraginta quas scriptor anonymus eminentissimi card. Caelestini Sfondrati libro, cui titulus: Nodus praedestinationis, quantum homini licet, dißolutus, inussit",,,,,,,,,
1003868525,Aal,Mémoires pour servir a lʹhistoire des plantes,,,,,,,,,
1003868568,Aal,Scholia Sive Dilvcidationes Ervditissimae In Latinos Plerosqve Historiae Romanae Scriptores Quorum nomina versa,,,,,,,,,
1003868738,Afl,Du Moulin,Charles,"CONSVETVDINES|| sive|| CONSTITVTIONES|| ALMAE PARISI-||ORVM VRBIS, ATQVE A=||DEO TOTIVS REGNI FRANCIAE|| PRINCIPALES: COMMENTARIIS AM-||plissimis ...||illustratae & explicatae:|| PER D. CAROLVM MOLINAEVM, IVRECONSVLTVM|| CLARISSIMVM, PARISIENSEM ...||",T. I,,,,,1147901104,Qd
1003868746,Afl,Du Moulin,Charles,"CONSVETVDINES|| sive|| CONSTITVTIONES|| ALMAE PARISI-||ORVM VRBIS, ATQVE A=||DEO TOTIVS REGNI FRANCIAE|| PRINCIPALES: COMMENTARIIS AM-||plissimis ...||illustratae & explicatae:|| PER D. CAROLVM MOLINAEVM, IVRECONSVLTVM|| CLARISSIMVM, PARISIENSEM ...||",T. II,,,,,1147901104,Qd
1003871720,Aal,"TRACTATVS|| DE ORIGINE,|| PROGRESSV ET EXCELLEN-||TIA REGNI ET MONARCHIAE FRAN-||corum, et Coronae Franciae, Authore Domi",,,,,,,,1147901104,Qd
1003872034,Aal,"Stemmata Principum Daniae, Holsatiae & Oldenburgi hoc ordine Chytraeo, Hamelmanno, Gerschovio ...",,,,,,,,1141698420,Qd
1003872166,Aal,Tasbēṣ,... šeʼelot u-tešuvot we-ḥiddušim be-feruse halak̲ot u-šemaʻtot u-fesaqim bi-šeloša qalaqim : ... Ḥuṭ ham-mešulaš,,,,,,,,
1003872638,Afl,Duval,Pierre,Le @Monde ou la geographie universelle ...,P. 1,,,,,,
1003872751,Aal,"Le @Table allievr des reportes del tresreuerend Iudge Sir Ia. Dyer Chiualer, ...",,,,,,,,,
1003873111,Aal,"M. Theod. Eberti Professoris Academici Chronologia Praecipuorum Sanctioris Linguae Doctorum ab initio Mundi, usque ad praesens tempus delineata ...",,,,,,,,1141698420,Qd
1003876463,Aal,Epiktētu Encheiridion tu proteru plēresteru kai amolōtoteru,"Enchiridion Epicteti, Philosophi inter Soicos & sanctissimi & nobilissimi, priori illo auctius, & emaculatius : cui accessit magna pars ex Graecanicis Ioannis Stobaei collectariis, Per Hieronymum Verlenium",,,,,,,1138315451,Qd
1003878733,Hal,Urkunde der Universität Padua vom 6. Juli 1662 über die Verleihung der Lizentiatenwürde beider Rechte an Ludwig Ernst Ertinger aus Regensburg,[Hs. auf Pergament],,,,,,,,
1003879004,Aal,"Las @quatrocientas respuestas a otras tantas preguntas, quel Illustrissimo señor don Fadrique enrriquez Almira[n]te de Castilla y otras personas, embiaron a preguntar en diuersas [diversas] vezes al autor/ no nombrado, mas de que era frayle menor",,,,,,,,,
1003879144,Aal,"DellʹOrigine e delle regole della musica colla storia del suo progresso, decadenza, e rinnovazione",,,,,,,,,
1003880487,Afl,Favre,Antoine,Coniecturae iuris civilis,1-6,Antonii Fabri ... coniecturarum juris civilis libri sex priores ...,,,,,
